"Points:0","Points:1","Points:2","U:0","U:1","U:2","alpha.water"
432.58,1117.9,144.31,-0.39492,-0.32777,-0.26655,0.5
432.58,1118,144.39,0.10542,0.18117,-0.13004,0.5
432.27,1118.1,144.24,0,0,0,0.5
434.97,1117.5,144.9,-0.007356,0.20355,-0.29402,0.5
435.15,1117,144.45,0,0,0,0.5
435.32,1117.4,144.97,-1.1274,-1.1252,-0.41735,0.5
425.17,1122.7,144.61,-0.1587,0.34731,-0.10349,0.5
425.56,1121.5,143.86,0,0,0,0.5
426.26,1122.6,144.79,-4.4677,-1.9349,-0.4076,0.5
430.02,1120.1,144.84,0.77449,1.555,0.4735,0.5
431.08,1120,145.2,-3.8895,-2.0548,-0.72641,0.5
429.94,1120.5,144.88,-1.9748,-0.74912,-0.15367,0.5
423.09,1125.1,144.28,-0.24235,-0.13552,-0.23025,0.5
422.58,1127.5,144.48,-0.40019,-0.20562,-0.12834,0.5
421.51,1127.9,143.92,0,0,0,0.5
422.65,1125.1,144.1,-1.842,-0.87187,-0.598,0.5
418.24,1130.7,144.04,-0.76597,-0.41287,-0.20522,0.5
417.97,1132.5,144.73,-1.2847,-1.257,-0.54567,0.5
416.16,1132.5,144.47,-7.3555,-4.0855,-1.4561,0.5
417.66,1130.6,143.95,-2.1907,-1.3046,-0.61715,0.5
420.16,1130.1,144.57,-1.5564,-0.74827,-0.1885,0.5
421.22,1130.1,144.83,-4.7347,-2.5217,-0.54677,0.5
420.13,1131.6,144.79,-6.0367,-3.3343,-0.20789,0.5
416.29,1137.1,143.71,0,0,0,0.5
416.3,1135.4,143.75,0,0,0,0.5
417.59,1135,144.79,-0.87402,-1.5842,-0.92213,0.5
417.6,1137.5,144.75,-2.2091,-1.8295,-1.3703,0.5
412.9,1142.1,143.91,-4.5988,-2.3553,-1.4458,0.5
413.09,1143.2,144.23,-1.6925,-0.72328,-0.74251,0.5
411.96,1143.1,143.83,-4.3206,-2.294,-1.7974,0.5
415.02,1141.1,144.27,-7.878,-3.8945,-1.6011,0.5
416.1,1140,144.25,-7.7612,-3.8368,-1.5773,0.5
417.89,1140,144.64,-2.7432,-1.3824,-1.4244,0.5
415.07,1143,144.62,-2.2418,-0.72014,-0.69658,0.5
417.53,1142.5,144.8,-2.4415,-0.70978,-0.94461,0.5
412.6,1146.7,145.13,-6.8498,-3.2844,-0.48178,0.5
411.68,1147.6,144.86,-5.5152,-2.6444,-0.38791,0.5
410.6,1147.7,144.42,-0.96498,0.42063,-0.27576,0.5
412.6,1145.2,144.83,-2.4195,-0.66408,-0.859,0.5
410.68,1145.7,144.11,-1.0528,-0.30188,-0.7005,0.5
412.97,1185.8,146.58,-5.9862,1.2461,-2.6514,0.5
412.44,1187.5,146.43,-7.8904,1.6425,-3.4948,0.5
411.45,1187.5,144.72,0,0,0,0.5
412.84,1184.4,146.25,-2.1548,0.23684,-1.2621,0.5
411.77,1185.1,145.34,0,0,0,0.5
405.02,1189.7,144.13,-2.8993,-0.4701,-0.15995,0.5
407.18,1190.7,144.32,-9.2499,-0.79087,-0.11948,0.5
407.29,1192.3,145.12,-10.569,0.77558,0.64603,0.5
404.15,1189.7,144.36,-1.4528,-0.088242,0.22263,0.5
404.66,1192.2,145.3,-6.0847,0.5341,1.1618,0.5
410.51,1190.3,143.82,0,0,0,0.5
411.15,1189.7,144.27,0,0,0,0.5
412.46,1189.8,146,-6.2511,1.4274,-2.5549,0.5
410.36,1191.6,144.59,-4.1907,0.79617,-0.95505,0.5
412.41,1192.3,146.14,-9.506,1.9822,-3.332,0.5
397.48,1196.8,145.04,0,0,0,0.5
397.4,1196.9,146.12,-11.895,1.8219,1.1455,0.5
395.32,1197.6,146.17,-13.384,0.33495,0.88871,0.5
395.52,1197.5,145.28,0,0,0,0.5
402.39,1194.9,146.41,-12.969,2.7736,2.4656,0.5
399.98,1195.9,144.92,0,0,0,0.5
401.86,1194.8,144.96,0,0,0,0.5
399.92,1195.9,146.17,-12.474,2.7341,1.4229,0.5
405.65,1194.9,146.19,-13.247,2.2768,3.3253,0.5
407.45,1195,145.59,-11.364,1.7731,2.1991,0.5
407.47,1195.6,145.85,-13.261,2.1662,2.8494,0.5
410.66,1194.9,145.8,-12.793,2.3137,-1.9228,0.5
409.85,1195.5,145.53,-12.9,2.2697,-0.74046,0.5
