"Points:0","Points:1","Points:2","U:0","U:1","U:2","alpha.water"
422.52,1112.5,141.97,-8.3769,-5.6287,-1.6142,0.5
420,1112.5,140.85,-1.3613,-1.0598,-0.15723,0.5
420,1112.2,140.94,-1.4799,-1.1169,0.049225,0.5
422.43,1110.3,142.75,-10.881,-8.0188,-0.66982,0.5
425.34,1112.6,142.52,-11.877,-7.771,-2.861,0.5
427.43,1109.9,142.61,-11.666,-9.0834,-1.6569,0.5
427.54,1111.8,142.91,-11.166,-8.136,-3.2665,0.5
425.04,1112.6,142.45,-11.347,-7.3575,-2.6112,0.5
424.93,1109.9,143.02,-12.407,-9.2492,-1.3152,0.5
430.28,1110.3,142.12,-10.501,-8.2985,-3.7716,0.5
429.98,1110,141.84,-7.4266,-5.9318,-2.6409,0.5
432.38,1110.5,141.49,-3.0951,-2.3105,-1.1686,0.5
431.37,1110,141.2,0,0,0,0.5
415.02,1116.7,142.46,-11.464,-7.7743,-0.78697,0.5
417.53,1115,141.98,-8.3918,-5.8304,-1.5507,0.5
417.89,1116.4,142.09,-7.3186,-5.0848,-1.3524,0.5
415.13,1115,141.48,-4.0904,-3.1156,0.0033474,0.5
472.75,1099.1,149.05,-6.9526,-8.5251,-1.81,0.5
472.78,1099.1,149.06,-6.9349,-8.5165,-1.8159,0.5
472.79,1099.1,149.06,-6.9335,-8.5199,-1.8075,0.5
474.65,1099.5,149.38,-5.7838,-7.9625,-1.8464,0.5
476.49,1099.9,149.72,-4.7683,-7.6129,-1.7251,0.5
475.11,1101.6,149.68,-5.8307,-7.831,-1.2542,0.5
476.96,1102,150.05,-5.2215,-7.2241,-0.9946,0.5
479.01,1102.5,150.14,-4.3454,-7.0437,-0.63555,0.5
478.69,1102.5,150.19,-4.4504,-6.929,-0.81833,0.5
478.56,1101.8,150.02,-4.1297,-7.0732,-1.015,0.5
475.74,1104.8,150.38,-5.6433,-8.2264,-1.6511,0.5
476.02,1103.8,150.06,-5.6673,-7.9757,-1.3503,0.5
477.47,1104.2,150.32,-5.3074,-7.2655,-0.66017,0.5
475.76,1106.1,150.74,-5.4957,-8.3072,-1.7541,0.5
477.97,1106.2,150.66,-5.1879,-7.6083,-1.0055,0.5
479.95,1105.5,150.62,-4.4413,-6.7441,-0.078017,0.5
479.2,1104.7,150.55,-4.7627,-6.7347,-0.18838,0.5
480.25,1104.8,150.45,-4.3547,-6.8861,-0.09293,0.5
435.12,1112.5,144.64,-10.411,-9.3466,-7.1334,0.5
