"Points:0","Points:1","Points:2","U:0","U:1","U:2","alpha.water"
471.89,1055,140.58,-0.41315,-1.1219,0.01952,0.5
472.03,1055,140.48,-0.33639,-0.88897,-0.093328,0.5
472,1055.1,140.52,-0.28875,-0.77303,-0.051825,0.5
427.49,1112.6,142.41,-10.845,-7.7141,-3.3275,0.5
425,1112.4,141.56,-4.5961,-3.289,-0.84278,0.5
424.96,1111.4,141.72,-4.6347,-3.6937,-0.58846,0.5
427.57,1112.6,142.43,-10.82,-7.7214,-3.3559,0.5
427.42,1110.6,141.87,-7.9512,-6.4287,-1.2551,0.5
430.34,1110.4,142.07,-10.651,-8.3539,-3.5751,0.5
430.13,1110.5,141.07,-3.3699,-2.3597,-1.1978,0.5
432.47,1110.4,141.49,-2.9996,-2.1004,-1.0662,0.5
422.73,1115.2,141.06,0,0,0,0.5
422.05,1115.3,141.18,-3.5874,-2.9777,-1.2031,0.5
421.71,1114.8,140.92,0,0,0,0.5
478,1106.2,150.49,-5.3283,-13.987,-3.7176,0.5
475.71,1106.1,150.77,-5.5348,-13.893,-3.9112,0.5
475.76,1104.9,150.42,-5.5456,-13.962,-3.8393,0.5
477.89,1105.7,150.32,-5.3291,-14.034,-3.6105,0.5
435.06,1112.2,144.83,-10.786,-9.2402,-6.937,0.5
437.84,1110.9,145.43,-7.2832,-6.8365,-5.0233,0.5
437.84,1112.6,145.9,-5.4883,-5.3383,-4.4892,0.5
435.12,1112.6,144.93,-10.324,-9.1977,-7.0677,0.5
481.54,1109.2,150.84,-4.8017,-13.349,-3.1466,0.5
480.96,1109.9,151.12,-4.8751,-13.504,-3.5172,0.5
479.93,1109.5,151.04,-5.0175,-13.535,-3.611,0.5
430.13,1115.3,144.63,-10.497,-8.3442,-6.2445,0.5
430.36,1115.1,144.67,-11.044,-8.7864,-6.6016,0.5
432.59,1115.1,145.43,-9.8071,-8.423,-6.9812,0.5
430.41,1117.9,145.62,-4.4124,-3.2995,-3.1008,0.5
432.57,1117.7,146.24,-6.1349,-4.8114,-3.6193,0.5
435.3,1115.3,146.15,-6.1758,-5.4913,-4.5118,0.5
437.58,1115.1,146.63,-7.8486,-6.9333,-4.8449,0.5
435.04,1117.5,146.57,-6.9933,-5.8303,-3.9612,0.5
437.12,1117.2,147.62,-9.8987,-8.8094,-4.7147,0.5
422.96,1121.7,144.24,-5.7128,-3.869,-1.9903,0.5
423.13,1123.1,144.72,-2.3938,-1.6531,-0.99748,0.5
421.8,1122.9,144.22,-5.4244,-3.2536,-2.0396,0.5
425.52,1120.6,145.04,-2.905,-2.2732,-1.734,0.5
427.6,1120.4,145.65,-4.7876,-3.0101,-1.9533,0.5
425.14,1122.6,145.55,-4.196,-2.0694,-0.13438,0.5
427.42,1122.5,146.19,-11.267,-6.5625,-1.4629,0.5
430.05,1120.1,146.06,-5.8202,-3.344,-1.8295,0.5
