"Points:0","Points:1","Points:2","U:0","U:1","U:2","alpha.water"
422.52,1112.5,141.89,-7.682,-5.3006,-1.4026,0.5
420,1112.5,140.79,-0.95166,-0.76011,-0.11136,0.5
420,1112.3,140.83,-0.95942,-0.75396,0.038227,0.5
422.43,1110.3,142.76,-10.756,-8.1237,-0.70364,0.5
425.18,1112.6,142.53,-11.842,-7.7975,-2.7808,0.5
427.42,1109.9,142.5,-11.773,-9.4725,-1.6491,0.5
427.54,1111.7,142.93,-11.205,-8.1936,-3.357,0.5
425.04,1112.6,142.49,-11.522,-7.5582,-2.6403,0.5
424.93,1109.9,143.11,-12.345,-9.5112,-1.5311,0.5
430.3,1110.3,142.1,-10.625,-8.6479,-3.696,0.5
429.91,1110,141.59,-5.5179,-4.5299,-1.8797,0.5
432.22,1110.6,141.49,-3.8653,-3.0237,-1.471,0.5
430.62,1110,141.06,0,0,0,0.5
415.01,1116.3,142.48,-11.68,-8.0519,-0.89169,0.5
417.54,1115,142.18,-9.4543,-6.6743,-1.9664,0.5
417.75,1115.8,142.27,-9.0716,-6.4042,-1.8868,0.5
415.1,1115,141.68,-5.5889,-4.1494,-0.25625,0.5
435.03,1112,144.91,-10.523,-9.4541,-7.0533,0.5
437.97,1111.6,144.86,-4.0707,-4.0574,-2.7752,0.5
437.93,1112.6,145.36,-3.8224,-3.9317,-3.1123,0.5
435.12,1112.6,145.02,-10.116,-9.4831,-7.0979,0.5
480.38,1108.9,150.76,-5.4148,-9.6826,-1.707,0.5
480.27,1109,150.77,-5.4572,-9.7181,-1.7601,0.5
480.2,1108.9,150.77,-5.4653,-9.7389,-1.7551,0.5
427.58,1117.5,144.63,-11.805,-8.859,-6.0094,0.5
427.58,1117.6,144.72,-11.655,-8.7433,-6.0869,0.5
427.04,1117.6,144.62,-11.826,-8.8235,-5.985,0.5
430.15,1115.4,144.61,-10.377,-8.5067,-6.211,0.5
430.56,1115.1,144.68,-11.211,-9.2219,-6.7855,0.5
432.59,1115.1,145.34,-10.023,-8.9279,-7.2058,0.5
430.42,1118,145.58,-4.2296,-3.5468,-3.5594,0.5
432.57,1117.8,146.16,-5.4557,-4.7452,-4.0645,0.5
435.32,1115.3,146,-5.4976,-5.3758,-4.2617,0.5
437.57,1115,146.44,-6.9706,-6.4454,-4.2639,0.5
435.04,1117.5,146.49,-6.3519,-5.7409,-4.3056,0.5
437.1,1117.1,147.42,-9.8581,-9.0231,-4.7031,0.5
420.07,1121.4,144.73,-12.773,-7.6967,-5.3284,0.5
421.24,1120.1,144.72,-12.619,-8.1167,-5.2642,0.5
422.58,1120.1,145.16,-12.342,-8.2293,-4.8647,0.5
420.07,1122.6,145.07,-12.745,-7.5001,-5.0216,0.5
422.93,1122.9,145.6,-6.2477,-3.997,-2.4948,0.5
425.42,1120.4,145.55,-5.4227,-3.826,-2.8254,0.5
427.59,1120.3,145.87,-5.6485,-3.7665,-2.9064,0.5
425.13,1122.6,145.99,-6.2835,-3.4213,-1.1403,0.5
427.4,1122.4,146.85,-10.14,-5.3158,-1.7253,0.5
432.13,1121,147.38,-11.529,-7.3322,-3.4429,0.5
429.75,1122.2,147.03,-11.796,-7.2654,-3.0254,0.5
429.67,1122.3,147.02,-11.748,-7.1953,-2.9899,0.5
432.31,1119.8,147.26,-9.8316,-6.326,-3.5092,0.5
430.05,1120.1,146.16,-5.8247,-3.628,-2.8713,0.5
417.54,1126.5,144.76,-13.134,-7.6972,-4.1024,0.5
417.54,1127.5,145.16,-12.937,-7.7948,-3.5613,0.5
415.3,1127.5,144.83,-12.9,-7.9326,-4.3854,0.5
422.8,1125.1,145.88,-7.1479,-4.0066,-2.2448,0.5
422.6,1127.5,145.93,-6.9899,-3.5837,-1.9889,0.5
420.05,1125,145.27,-12.974,-7.4655,-4.0741,0.5
420.38,1127.8,145.53,-6.2458,-3.5371,-1.7515,0.5
424.96,1125,146.75,-10.24,-5.5199,-1.2631,0.5
426.62,1124.8,146.91,-12.103,-7.1435,-2.6442,0.5
424.84,1126.8,146.48,-12.189,-6.931,-2.1593,0.5
412.34,1129.9,145.11,-12.934,-7.9916,-4.7121,0.5
412.26,1132.4,145.28,-13.416,-7.7877,-4.0524,0.5
410.19,1132.3,144.6,-13.408,-7.2178,-4.2547,0.5
411.11,1129.9,144.74,-13.073,-7.5027,-4.3853,0.5
417.84,1130.3,145.79,-7.6644,-4.7848,-1.8591,0.5
417.7,1132.5,146.17,-9.3791,-5.4102,-1.8357,0.5
414.95,1130,145.79,-12.814,-8.159,-3.6045,0.5
414.95,1132.5,145.91,-13.003,-7.6664,-2.8294,0.5
422.28,1131.8,146.89,-12.4,-6.6634,-1.5306,0.5
421.89,1132.4,146.9,-12.44,-6.6688,-1.4533,0.5
420.01,1132.5,146.91,-9.7279,-6.0809,-1.0102,0.5
422.4,1130,146.89,-10.377,-5.6957,-1.4571,0.5
420.13,1130.1,145.97,-7.4001,-4.2576,-1.2291,0.5
412.25,1134.9,145.31,-13.688,-7.1233,-3.3532,0.5
412.35,1137.4,145.18,-13.71,-6.3951,-3.4947,0.5
409.51,1134.7,144.45,-13.551,-6.9881,-3.9343,0.5
409.69,1137.4,144.2,-13.548,-6.3791,-3.7393,0.5
415.43,1135.3,145.3,-6.3702,-3.6407,-1.4807,0.5
417.58,1135,146.22,-9.897,-5.3195,-1.867,0.5
415.42,1137.2,145.33,-6.8659,-3.3963,-1.575,0.5
417.59,1137.5,146.21,-10.3,-5.1746,-1.97,0.5
419.87,1137.5,147.17,-11.195,-6.5555,-0.72831,0.5
419.91,1135,147.05,-10.261,-6.3959,-0.67581,0.5
420.95,1135,146.93,-12.468,-6.6395,-1.053,0.5
420.59,1137.5,146.93,-12.762,-6.6414,-1.1274,0.5
412.4,1140.1,145.15,-13.696,-6.1406,-4.0487,0.5
412.78,1142.9,145.56,-7.8532,-3.2167,-2.2777,0.5
409.72,1140.1,144.15,-13.322,-5.8846,-4.3482,0.5
409.88,1142.7,144.92,-12.908,-5.5756,-4.7769,0.5
417.69,1140,146.11,-10.344,-4.9388,-2.1153,0.5
417.56,1142.6,145.94,-9.4376,-4.3863,-1.8188,0.5
415,1140,145.73,-13.658,-6.1792,-2.8688,0.5
415.06,1142.8,145.86,-9.0295,-3.9574,-1.8259,0.5
419.85,1142.4,147.07,-12.586,-6.7066,-1.0821,0.5
419.89,1140,146.98,-12.088,-6.585,-0.87188,0.5
420.4,1140,146.8,-12.83,-6.6567,-1.1637,0.5
420.05,1142.4,146.98,-13.001,-6.7306,-1.3101,0.5
407.11,1145.1,144.28,-13.695,-5.6516,-4.4444,0.5
407.32,1145.1,144.32,-13.557,-5.5084,-4.6859,0.5
407.36,1146.6,144.37,-13.823,-5.5833,-4.7914,0.5
410.32,1145.4,145.57,-7.233,-2.435,-2.8488,0.5
412.58,1145.1,145.92,-8.2715,-2.5372,-1.4394,0.5
410.35,1147.7,145.59,-5.9177,-0.080226,-1.5241,0.5
412.52,1147.5,146.74,-12.253,-3.9254,-0.92332,0.5
414.99,1145,146.72,-12.34,-4.6437,-0.60188,0.5
417.44,1144.9,146.96,-12.7,-5.8848,-0.77628,0.5
417.43,1145.4,146.89,-12.889,-6.4799,-1.0571,0.5
414.97,1146.9,146.86,-13.365,-6.3218,-0.94408,0.5
