"Points:0","Points:1","Points:2","U:0","U:1","U:2","alpha.water"
596.63,1052.3,153.83,-2.7365,0.78217,1.083,0.5
594.64,1052.2,154.06,-1.6187,0.43195,0.5089,0.5
594.65,1051.6,153.89,0.19558,0.40304,-0.13333,0.5
596.38,1050.1,153.42,1.5628,0.41816,-1.0915,0.5
512.36,1057.6,149.55,-0.2036,0.25902,0.39219,0.5
512.89,1057.1,149.11,0,0,0,0.5
512.87,1057.6,149.66,-0.27161,0.045334,0.73221,0.5
516.98,1057.4,150.75,-0.40774,-0.53719,-2.2006,0.5
513.89,1057.6,150.82,-0.065958,-0.72085,-1.773,0.5
514.07,1055.9,149.54,0,0,0,0.5
517.04,1056.2,150.61,0.28701,-2.2798,1.9119,0.5
557.81,1057.2,154.94,0.034131,-0.041269,-0.0055564,0.5
555.28,1057.4,155.25,0.20134,-0.63947,-0.37073,0.5
555.48,1054.9,154.69,-0.024205,-0.0097556,-0.012241,0.5
557.98,1054.9,154.38,-0.0021616,-0.0066305,0.00011876,0.5
561.11,1054.2,154.64,-0.0032414,-0.0060964,0.00041112,0.5
561.6,1054.2,154.57,-0.0029655,-0.0059529,0.00049449,0.5
562.96,1054.6,154.34,-0.0031959,-0.0061583,0.00070649,0.5
560.51,1057,154.65,-0.0052445,-0.0099281,0.00082405,0.5
562.89,1057.2,154.52,-0.0045634,-0.010912,0.0014731,0.5
564.88,1054.8,154.46,-0.0023701,-0.0068464,0.00091277,0.5
567.12,1054.9,154.72,-0.0018192,-0.0075694,0.00086852,0.5
564.98,1057.4,154.44,-0.0031831,-0.010869,0.0017998,0.5
567.21,1057.6,154.64,-0.0023098,-0.010773,0.0018564,0.5
570,1055,155.09,-0.0013114,-0.0081858,0.00086416,0.5
572.91,1055.1,154.76,-0.00012563,-0.0078515,0.0010391,0.5
570.02,1057.7,154.85,-0.0013398,-0.011082,0.0019307,0.5
572.98,1057.8,154.58,0.00027419,-0.011796,0.0019116,0.5
575.03,1055.2,154.42,0.0013945,-0.0063261,0.0011889,0.5
577.47,1055.1,154.75,0.0020509,-0.0056096,0.00083074,0.5
575.07,1057.8,154.06,0.0053729,-0.010839,0.0016142,0.5
577.14,1057.7,154.53,0.0083665,-0.0057832,0.0006632,0.5
580.07,1054.8,154.49,0.0019316,-0.0049241,0.00031885,0.5
582.31,1054.7,154.41,0.0016587,-0.0053021,-0.00075224,0.5
579.69,1057.3,154.69,0.0052359,-0.0029646,-5.436e-05,0.5
582.24,1057.1,154.78,0.0032326,-0.0040624,-0.00017694,0.5
584.73,1054.8,155.09,0.0026378,1.9907,-0.12604,0.5
587.27,1054.8,155.47,-0.59697,3.4229,-0.29801,0.5
584.82,1057.1,155.3,0.1101,1.5357,-0.13839,0.5
587.35,1057.3,155.45,-0.38193,2.6087,-0.25851,0.5
589.89,1054.9,155.24,-1.2448,3.2207,-0.3704,0.5
592.36,1054.8,154.53,-1.2479,2.927,-0.79407,0.5
589.87,1057.3,154.98,-1.0623,3.2525,-0.50605,0.5
592.37,1057.3,154,-0.11382,3.4494,-1.8124,0.5
594.73,1054.9,153.57,-1.1287,1.8168,-0.59109,0.5
596.91,1054.9,153.72,-1.4829,0.8762,0.2495,0.5
594.97,1057.3,152.3,0.67927,2.223,-2.2557,0.5
505.91,1063.1,149.56,0,0,0,0.5
506.57,1062.6,149.69,0,0,0,0.5
506.38,1063,150.36,0.053854,1.6625,0.50838,0.5
510.27,1060.5,150.6,-1.1868,-1.8609,0.41888,0.5
512.54,1060.1,151.28,-0.84355,-0.57402,-0.13945,0.5
510.04,1062.9,151.44,-0.038586,-1.308,-0.2979,0.5
512.52,1062.3,151.76,0.053389,0.020286,0.014458,0.5
514.7,1060.1,151.72,0.025745,0.025625,0.0053391,0.5
517.35,1059.7,150.06,0.00051785,0.00070223,-0.00026676,0.5
514.83,1062.7,151.9,0.041304,0.009266,0.0076358,0.5
517.63,1061.9,151.32,-0.03483,0.79471,0.017679,0.5
520.8,1063.1,150.4,0,0,0,0.5
521.81,1062,150.21,0,0,0,0.5
522.18,1062.5,150.55,0.2193,1.0608,-0.10189,0.5
549.6,1062.3,153.53,0.81307,1.3163,-0.13075,0.5
551.7,1060.4,154.51,0.2431,0.53277,-0.12742,0.5
552.18,1060.4,154.84,0.18544,-1.1107,0.35601,0.5
549.64,1062.7,153.72,1.324,-1.9165,1.8967,0.5
552.05,1062.7,154.86,1.1894,-4.0996,1.6304,0.5
554.96,1060,155.59,0.20527,-0.39208,-0.13295,0.5
557.61,1059.8,155.78,0.0011384,0.051302,-0.0036757,0.5
554.68,1062.6,155.79,0.052161,-0.21381,-0.025809,0.5
557.43,1062.4,156.67,-0.014327,-0.0090682,-0.0034028,0.5
560.27,1059.7,155.66,-0.019783,0.010976,0.0010365,0.5
562.81,1059.8,155.6,-0.032256,-0.033083,0.0020828,0.5
560.15,1062.3,156.67,-0.011604,-0.013221,-0.00195,0.5
562.77,1062.4,156.56,-0.0091209,-0.013633,-0.00048407,0.5
565.19,1062.4,156.41,-0.0066851,-0.014446,0.0005631,0.5
567.4,1060.1,155.49,-0.01014,-0.061512,0.0013797,0.5
567.54,1062.5,156.39,-0.0045238,-0.015083,0.0011641,0.5
565.11,1060,155.48,-0.018743,-0.063723,0.0030485,0.5
570.01,1062.6,156.41,-0.0026283,-0.015423,0.0013999,0.5
572.77,1060.1,155.49,-0.011104,-0.042949,0.0048831,0.5
572.47,1062.4,156.38,-0.0009101,-0.015604,0.0012107,0.5
570.03,1060.2,155.61,-0.018271,-0.060699,0.0040025,0.5
574.67,1062.2,156.35,-0.00012134,-0.015862,0.00051339,0.5
577,1059.8,155.29,0.094534,0.010159,-0.04253,0.5
576.86,1062,156.58,0.00041991,-0.016141,-0.00030745,0.5
574.95,1059.9,155.16,0.05312,-0.047896,-0.011964,0.5
579.36,1059.7,155.14,0.12548,0.17445,-0.063856,0.5
582.08,1059.5,155.17,0.0057748,-0.00063424,-0.0015472,0.5
579.29,1062,156.33,0.082679,0.076771,-0.029005,0.5
582.04,1062,156.4,0.034194,0.20338,-0.033236,0.5
584.92,1059.5,155.52,-0.02627,0.67363,-0.066108,0.5
587.41,1059.6,155.56,-0.44838,0.95794,0.016678,0.5
584.87,1062.1,156.4,-0.18625,0.34632,0.025689,0.5
587.4,1062.1,156.54,-0.2043,0.24894,0.04963,0.5
589.84,1059.6,155.69,-0.66963,0.25532,0.10416,0.5
592.2,1059.6,154.79,-0.027643,0.031348,-0.0031047,0.5
589.81,1062,156.26,0.015828,-0.010225,-0.0078023,0.5
505.51,1066.9,149.68,0,0,0,0.5
505.72,1065.7,149.75,0,0,0,0.5
507.18,1065.5,151.24,0.097198,0.18194,-0.019059,0.5
507.21,1066.6,150.91,-1.1836,1.6966,2.424,0.5
509.99,1064.8,151.63,0.1848,-0.00098712,0.16797,0.5
512.53,1064.9,151.97,2.5249,3.4627,2.4197,0.5
510.09,1067.1,151.48,-1.1429,4.0847,2.0762,0.5
511.97,1067.7,152.42,1.8454,6.236,3.3576,0.5
514.16,1065,151.04,2.0916,2.8625,1.943,0.5
517.63,1064.6,150.99,0.33431,1.3865,1.0718,0.5
514.84,1067.6,152.79,2.3416,3.9741,2.2694,0.5
517.54,1067.6,152.64,0.49989,1.5034,0.87745,0.5
520.59,1064.3,151.54,0.16815,3.2201,2.5202,0.5
522.68,1064.7,151.01,1.8612,3.5171,-2.4825,0.5
520.16,1067.4,152.58,0.18186,2.2685,1.4496,0.5
522.72,1067.5,152.97,0.68701,2.0623,-0.47216,0.5
541.42,1068.4,150.08,0.20482,-0.25543,0.43848,0.5
542.02,1067.7,149.46,0,0,0,0.5
541.97,1068.4,150.2,-1.4665,-0.37733,1.4886,0.5
544.51,1065.5,150.14,0.53665,-2.1809,3.8986,0.5
547.17,1065.1,152.27,0.94566,-4.9669,4.7139,0.5
544.22,1068,151.72,0.15492,0.016458,0.0080143,0.5
546.93,1067.5,151.56,0.16119,-0.0021329,0.16823,0.5
549.74,1065,153.86,1.7075,-6.2952,4.088,0.5
552.06,1065.1,154.87,1.37,-3.2194,1.3127,0.5
549.71,1067.3,154.07,0.085531,0.013439,0.077144,0.5
552.11,1067.4,155.48,0.029573,-0.0288,0.01103,0.5
556.55,1067.5,156.46,-0.025107,-0.019387,-0.0059513,0.5
557.31,1065,156.64,-0.020049,-0.01223,-0.004776,0.5
