"Points:0","Points:1","Points:2","U:0","U:1","U:2","alpha.water"
596.63,1052.3,153.8,-2.2361,-0.34847,0.32118,0.5
594.64,1052.2,154.09,-2.1802,-0.68781,-0.10304,0.5
594.65,1051.5,153.9,-0.053918,-0.49248,-0.12083,0.5
596.4,1050.3,153.37,0.83419,0.014965,-0.72551,0.5
512.94,1057.6,149.11,-0.0032729,-0.0096239,0.0046456,0.5
512.95,1057.6,149.1,0,0,0,0.5
512.95,1057.6,149.11,-0.0041708,0.0020235,0.0078943,0.5
516.97,1057.4,150.67,0.23346,-1.1835,-2.6328,0.5
513.78,1057.6,150.57,0.59795,-0.87153,-0.91491,0.5
513.89,1056.2,149.46,0,0,0,0.5
517.03,1056.4,150.53,0.093384,-2.9181,2.2869,0.5
557.81,1057.2,154.97,-0.15492,-0.11352,-0.0059131,0.5
555.28,1057.4,155.26,-0.2356,-0.17208,-0.2489,0.5
555.48,1054.9,154.69,-0.025672,-0.025899,-0.0077516,0.5
557.98,1054.9,154.37,-0.014588,-0.021407,0.0012121,0.5
561.15,1054.1,154.65,-0.014257,-0.021732,0.001675,0.5
562.96,1054.6,154.35,-0.012055,-0.023379,0.0030601,0.5
560.51,1057,154.68,-0.025572,-0.034746,0.0032014,0.5
562.88,1057.2,154.56,-0.018208,-0.035032,0.0054813,0.5
564.88,1054.8,154.47,-0.007929,-0.02378,0.0037076,0.5
567.12,1054.9,154.73,-0.0050551,-0.023442,0.0042983,0.5
564.98,1057.4,154.48,-0.01176,-0.036439,0.0069179,0.5
567.21,1057.6,154.68,-0.0097836,-0.038768,0.0082797,0.5
570,1055,155.1,-0.0035316,-0.023476,0.0049462,0.5
572.91,1055.1,154.77,-0.001233,-0.022976,0.0052845,0.5
570.02,1057.7,154.89,-0.0086637,-0.03989,0.0099774,0.5
572.98,1057.8,154.62,-0.0037723,-0.037823,0.009906,0.5
575.03,1055.2,154.43,0.00486,-0.019216,0.0048477,0.5
577.47,1055.1,154.76,0.011156,-0.013143,0.0033906,0.5
575.07,1057.8,154.12,0.015364,-0.03014,0.0068155,0.5
577.15,1057.7,154.58,0.03518,-0.01267,0.00182,0.5
580.07,1054.8,154.5,0.010761,-0.010013,0.0022112,0.5
582.31,1054.7,154.41,0.0072624,-0.0034617,0.0018674,0.5
579.69,1057.3,154.72,0.023092,-0.010917,-0.00068515,0.5
582.24,1057.1,154.79,0.010449,-0.014252,0.0016029,0.5
584.73,1054.8,155.09,0.027919,1.9446,0.0089035,0.5
587.27,1054.8,155.47,-0.96927,3.1046,0.048769,0.5
584.82,1057.1,155.31,-0.0045274,0.62784,-0.091442,0.5
587.35,1057.3,155.46,-0.41154,1.5486,-0.12961,0.5
589.89,1054.9,155.25,-1.9523,2.1086,-0.065844,0.5
592.36,1054.8,154.54,-2.5388,1.2841,-0.077434,0.5
589.87,1057.3,154.99,-0.95038,1.9773,-0.1789,0.5
592.37,1057.3,154.04,-0.88073,1.6062,-0.29325,0.5
594.72,1054.9,153.62,-2.0189,0.86834,0.0058828,0.5
596.76,1054.9,153.78,-1.0802,0.48816,0.060209,0.5
594.95,1057,152.51,-0.92384,1.1188,-0.21831,0.5
505.98,1063,149.54,0,0,0,0.5
506,1063,149.54,0,0,0,0.5
506,1063,149.56,0.011185,0.043081,-0.01028,0.5
510.29,1060.6,150.25,-0.39806,-1.1028,0.11229,0.5
512.55,1060.1,151.23,-0.71349,-0.23616,-0.13766,0.5
510.05,1062.9,151.23,0.02534,-0.73656,-1.0002,0.5
512.52,1062.3,151.76,0.051162,0.016056,0.019243,0.5
517.34,1059.7,150.05,0,0,0,0.5
517.35,1059.7,150.05,0,0,0,0.5
517.63,1061.9,151.31,0.27134,0.10571,0.019682,0.5
514.7,1060.1,151.69,0.020622,0.011323,-0.0022037,0.5
514.83,1062.7,151.88,0.049757,0.0054395,0.0027774,0.5
549.58,1062.1,153.57,0.26508,0.46544,-0.14826,0.5
551.57,1060.4,154.48,0.042409,0.044557,-0.030588,0.5
552.18,1060.4,154.88,0.031464,-1.0489,0.26057,0.5
549.64,1062.7,153.82,0.89326,-2.6583,1.6677,0.5
552.05,1062.7,154.89,0.62437,-2.3124,0.68022,0.5
554.96,1060,155.61,-0.032172,0.11526,-0.026678,0.5
557.61,1059.8,155.81,-0.12477,-0.058056,0.0011682,0.5
554.68,1062.6,155.82,0.048679,-0.1203,0.022911,0.5
557.43,1062.4,156.67,-0.043027,-0.042569,-0.0063358,0.5
562.68,1062.4,156.56,-0.028638,-0.044768,0.0010756,0.5
562.8,1059.8,155.63,-0.073222,-0.076922,0.005311,0.5
562.77,1062.4,156.56,-0.028422,-0.044811,0.0012035,0.5
560.15,1062.3,156.67,-0.035648,-0.043881,-0.0027116,0.5
560.26,1059.7,155.69,-0.10659,-0.067135,0.0016129,0.5
565.19,1062.4,156.41,-0.021474,-0.046927,0.0043028,0.5
567.41,1060.1,155.53,-0.030742,-0.11019,0.014463,0.5
567.54,1062.5,156.39,-0.015078,-0.04861,0.0062136,0.5
565.11,1060,155.52,-0.038487,-0.094542,0.0094899,0.5
570.01,1062.5,156.41,-0.0093889,-0.048925,0.0070617,0.5
572.77,1060.1,155.54,-0.016973,-0.0683,0.016004,0.5
572.48,1062.4,156.38,-0.0042178,-0.048309,0.0064334,0.5
570.03,1060.2,155.65,-0.031319,-0.10163,0.02024,0.5
574.67,1062.2,156.34,0.0007857,-0.049276,0.0042963,0.5
577,1059.8,155.34,0.12415,-0.10115,-0.031617,0.5
576.87,1062,156.58,0.0047186,-0.049162,0.0015461,0.5
574.94,1059.9,155.21,0.052981,-0.094384,-0.00098462,0.5
579.36,1059.7,155.19,0.12502,-0.071024,-0.047866,0.5
582.08,1059.5,155.21,0.019375,-0.041718,-0.003021,0.5
579.3,1062,156.36,0.076433,-0.064559,0.0072975,0.5
582.05,1062,156.43,0.055804,-0.096349,0.0049119,0.5
584.92,1059.5,155.54,-0.060302,-0.055986,-0.058946,0.5
587.41,1059.6,155.58,-0.26699,0.039776,-0.027377,0.5
584.86,1062.1,156.43,-0.032625,-0.039063,0.0086852,0.5
587.4,1062.1,156.55,-0.031239,0.017863,0.0097184,0.5
589.84,1059.6,155.69,-0.2173,0.038645,0.036154,0.5
592.01,1059.6,154.9,-0.0032717,-0.026983,0.028022,0.5
589.81,1062,156.26,0.026689,-0.033126,-0.0065129,0.5
505.95,1066.7,149.64,0,0,0,0.5
506.34,1065.8,149.62,0,0,0,0.5
507.09,1065.7,150.5,0.055021,0.087286,-0.010343,0.5
507.15,1066.5,150.55,-0.86795,0.87728,0.10914,0.5
509.99,1064.8,151.51,0.16543,0.00619,0.14676,0.5
512.53,1064.9,151.96,2.5847,3.4051,2.3582,0.5
510.1,1067.1,151.42,-1.0399,3.5656,1.7455,0.5
511.97,1067.7,152.42,1.9609,5.8862,3.1969,0.5
514.16,1065,151.04,2.2979,3.1431,2.1724,0.5
517.63,1064.6,150.98,0.47914,1.6094,1.3038,0.5
514.84,1067.6,152.79,2.6416,4.114,2.4052,0.5
517.54,1067.6,152.64,0.73287,1.65,0.99907,0.5
520.6,1064.3,151.5,-0.01098,1.6668,1.315,0.5
522.69,1064.7,150.73,0.76403,1.237,-1.2477,0.5
520.16,1067.4,152.6,0.020697,1.1022,0.73262,0.5
522.73,1067.5,152.83,0.21191,0.45888,-0.43484,0.5
541.71,1068.5,149.77,0.16096,0.12994,0.024,0.5
541.98,1068.2,149.48,0,0,0,0.5
541.96,1068.5,149.81,-0.56903,-0.13606,0.54982,0.5
544.51,1065.5,149.97,0.84363,-2.4057,3.6934,0.5
547.17,1065.1,152.26,1.4798,-6.0913,5.5501,0.5
544.19,1068.1,151.53,0.19446,0.0043365,0.085041,0.5
546.93,1067.5,151.54,0.079494,-0.08689,0.17789,0.5
549.74,1065,153.86,1.1482,-4.4011,2.8776,0.5
552.06,1065.1,154.89,0.73517,-1.3129,0.52692,0.5
549.71,1067.3,154.05,-0.049063,-0.042482,-0.0072228,0.5
552.11,1067.4,155.47,-0.069452,-0.069239,-0.020143,0.5
555.57,1067.5,156.36,-0.079356,-0.066737,-0.015493,0.5
557.31,1065,156.63,-0.058985,-0.050709,-0.0092991,0.5
557.29,1065.9,156.61,-0.063229,-0.055861,-0.010109,0.5
554.58,1067.5,156.23,-0.08431,-0.06768,-0.017752,0.5
554.57,1065.1,155.93,0.032731,-0.16187,0.019278,0.5
508.08,1068.8,151.41,1.3719,1.6793,0.87664,0.5
508.08,1068.8,151.41,1.3697,1.6853,0.88054,0.5
508.08,1068.9,151.41,1.3721,1.6808,0.8774,0.5
510.85,1068.9,152.79,-1.3048,6.6057,3.9023,0.5
512.27,1070.5,153.33,0.87317,7.1203,3.3158,0.5
510.44,1072.6,154.33,-1.2507,7.0373,3.7707,0.5
512.76,1072.6,154.54,0.1622,5.4258,1.9066,0.5
515.28,1070.2,153.92,2.9414,5.2905,2.3579,0.5
517.77,1070.4,153.68,1.5023,2.6473,0.90086,0.5
515.36,1072.5,154.83,2.5539,5.1059,1.488,0.5
517.74,1072.4,154.33,1.7563,3.0315,0.67117,0.5
519.91,1070.2,154.12,0.45303,1.3449,0.40297,0.5
522.5,1070.2,154.16,0.52985,0.74223,-0.012883,0.5
519.91,1072.5,154.41,1.137,1.0984,0.18193,0.5
522.48,1072.7,154.18,1.0085,0.08365,-0.16944,0.5
525.48,1070.2,153.25,0.33866,0.095643,-0.06209,0.5
528.19,1072.4,149.97,0.39304,0.17762,0.015771,0.5
528.27,1073.1,149.58,0.1382,-0.19938,0.63068,0.5
525.27,1070.2,153.42,0.391,0.06552,-0.23432,0.5
525.38,1072.8,153.2,0.46006,-0.17759,-0.16753,0.5
539.53,1072.2,150.59,-0.76475,0.69093,0.0042138,0.5
540.69,1069.3,150.56,-1.4555,0.52197,0.39799,0.5
541.98,1069.2,150.9,-3.2727,-1.3293,0.066228,0.5
539.53,1072.2,150.6,-0.77334,0.67779,0.012447,0.5
541.92,1072.2,151.1,-1.8727,-1.2659,0.2657,0.5
544.27,1069.5,151.98,-0.048514,-0.017016,-0.015872,0.5
544.45,1069.5,151.98,-0.05184,-0.020838,-0.015711,0.5
544.29,1070.1,151.93,-0.049711,-0.017904,-0.012245,0.5
510.26,1075.8,154.73,-0.64379,5.4163,2.0101,0.5
512.6,1075.4,155.1,0.083389,2.6488,0.52861,0.5
510.29,1077.6,155.05,-1.4508,1.8768,0.53626,0.5
512.66,1077.6,154.71,-1.7398,0.66813,0.11426,0.5
515.21,1075.2,155.18,1.4921,3.6747,0.60367,0.5
517.7,1074.9,155,1.1236,2.6002,0.38719,0.5
515.14,1077.8,155.01,-1.7884,1.2834,0.10799,0.5
517.61,1077.6,155.05,-2.4298,1.3753,0.25444,0.5
520.02,1074.9,154.8,0.20398,0.76767,0.24919,0.5
522.53,1075.1,154.31,-1.188,-0.14199,0.61261,0.5
520.05,1077.5,154.91,-3.8212,0.57763,0.72943,0.5
522.56,1077.5,154.54,-4.9962,0.11628,1.9059,0.5
525.18,1075.1,153.07,-1.5393,-0.13188,1.1232,0.5
528.08,1075.1,150.78,-1.9042,-0.16724,1.6454,0.5
524.71,1077.6,153.05,-4.3139,-0.037876,2.6613,0.5
528.83,1077.7,151.51,-2.0729,-0.07015,1.7301,0.5
532.3,1076.2,149.08,-0.0053039,0.077135,0.01521,0.5
529.89,1077.8,150.92,-0.07254,0.25228,0.041148,0.5
529.89,1075.7,149.48,0,0,0,0.5
532.28,1076,148.96,0,0,0,0.5
534.63,1075,149.28,0,0,0,0.5
535.09,1074.6,149.31,0,0,0,0.5
537.06,1075.8,149.83,-0.44912,-1.6451,0.26577,0.5
534.66,1077.7,150.01,0.46109,0.14291,0.093849,0.5
537.11,1077.7,150.41,1.4899,0.29024,0.7622,0.5
539.47,1074.6,150.68,-1.1882,-1.7129,1.8454,0.5
541.82,1075.1,150.99,1.5369,0.28802,2.4959,0.5
539.46,1077.7,149.85,1.8016,1.1621,1.8881,0.5
541.73,1077.6,150.89,2.0526,1.2441,3.1705,0.5
544.1,1075.2,152.65,1.4905,0.43311,2.2295,0.5
546.64,1075.4,154.86,0.051738,0.096401,0.16223,0.5
543.69,1077.8,153.6,0.95379,0.28265,1.4671,0.5
546.52,1077.3,155.2,0.022047,0.05203,0.11757,0.5
549.69,1075,155.55,-0.077871,-0.053157,0.0086536,0.5
552.04,1077.5,156.44,-0.087774,-0.077049,0.0021688,0.5
549.78,1077.4,155.64,-0.08175,-0.059968,0.013275,0.5
551.91,1074.9,156.23,-0.087575,-0.07455,-0.001728,0.5
506.65,1082.3,154.6,-0.18667,0.16905,-0.16074,0.5
507.61,1080.9,154.56,-0.010564,-0.00056136,-0.014282,0.5
507.68,1082.4,154.96,-2.5905,0.76454,-0.032725,0.5
512.47,1082,155.13,-3.1645,0.43056,0.029919,0.5
510.09,1082.4,155.08,-3.0495,0.60063,0.036115,0.5
510.15,1079.9,154.77,-0.0050266,-0.0049025,-0.0044504,0.5
512.64,1079.5,154.54,-0.0030177,-0.0031211,-0.0020428,0.5
514.9,1078.9,154.57,-2.6199,0.53044,0.03496,0.5
517.64,1079.6,155.06,-4.7779,0.72132,0.22277,0.5
514.81,1081.5,155.29,-3.9438,0.63117,0.065893,0.5
516.97,1080.7,155.27,-4.3713,0.55693,0.28916,0.5
520.07,1079.9,154.99,-4.6993,0.24485,0.62212,0.5
522.67,1080,154.62,-3.9199,0.033463,1.3187,0.5
520.04,1082,154.84,-3.217,0.050945,0.36189,0.5
522.57,1082.3,154.7,-1.775,-0.024357,0.20826,0.5
525.07,1079.9,153.48,-2.4123,0.088048,1.3478,0.5
528.18,1079.7,151.24,0.2286,0.58321,0.63401,0.5
525.01,1082.3,154.42,0.068982,0.15276,-0.075981,0.5
527.56,1082.3,153.18,0.12297,0.56815,0.44221,0.5
532.36,1081.8,152.63,0.2405,0.65127,0.27432,0.5
530.42,1082.1,152.65,0.046973,0.11138,0.050445,0.5
530.06,1082.1,152.64,0.0089497,0.21854,0.15905,0.5
532.33,1079.7,151.51,0.241,5.9003,5.6007,0.5
530.69,1079.1,151.4,0.11965,2.772,2.4983,0.5
536.6,1082,152.58,-0.02549,0.23858,0.12724,0.5
535.15,1081.5,152.04,0.066315,0.40497,0.18383,0.5
534.75,1079.5,150.74,0.90142,5.7116,6.0485,0.5
537.79,1081.9,152.85,0.25902,1.9971,1.6746,0.5
537.22,1079.6,151.82,1.5684,2.5515,3.0515,0.5
539.42,1079.2,151.53,1.4945,1.1931,1.4414,0.5
541.61,1079.8,152.47,0.56413,0.77549,0.87263,0.5
539.57,1081.5,153.64,0.38099,0.77579,0.45033,0.5
541.99,1082,153.78,0.08451,0.23612,0.13464,0.5
543.69,1078.8,153.94,-0.0087936,0.019132,0.11339,0.5
546.4,1079.8,155.57,-0.072567,-0.039838,0.024072,0.5
543.97,1082.1,154.48,-0.10147,-0.036613,0.027595,0.5
546.49,1082.4,155.52,-0.11604,-0.068966,0.010438,0.5
549.81,1079.9,155.99,-0.099704,-0.071655,0.010887,0.5
552.1,1082.5,156.47,-0.094017,-0.08205,0.0089298,0.5
549.79,1082.5,156.15,-0.1029,-0.073642,0.01346,0.5
552.1,1080,156.52,-0.091442,-0.08022,0.0051717,0.5
505.18,1085,154.97,-0.97012,0.16958,0.0028236,0.5
507.88,1084.8,155.06,-2.8151,0.077357,0.20412,0.5
504.7,1087.9,154.97,-1.8491,-0.56622,0.18671,0.5
508.16,1087.1,154.75,-1.4554,-0.86185,0.35295,0.5
510.15,1084.7,155.04,-2.5928,0.056622,0.082666,0.5
512.37,1084.5,155.05,-2.9177,0.18601,-0.098673,0.5
510.32,1086.8,154.58,-0.88203,-0.68678,0.22337,0.5
512.45,1086.9,155.14,-1.0681,-0.16633,0.013531,0.5
514.84,1084.3,155.37,-3.4519,0.17526,-0.022606,0.5
517.6,1084.2,155.31,-3.2854,0.030962,0.30884,0.5
514.97,1087.1,155.35,-1.3215,0.066875,-0.032214,0.5
517.69,1087.3,155.57,-2.0929,0.035173,0.1807,0.5
520.14,1084.5,155.07,-3.5444,-0.087651,0.52788,0.5
522.5,1084.7,155.34,-2.059,-0.019414,0.30196,0.5
520.05,1087.3,155.61,-1.8825,-0.13692,0.31829,0.5
522.45,1087.4,155.33,-0.0011297,-0.0038505,0.011349,0.5
525.01,1087,154.46,-0.0076001,0.0059459,-0.0010255,0.5
527.55,1087.6,153.37,-0.11054,-0.32801,0.12861,0.5
525.03,1087.5,154.28,-0.0028154,0.0039721,-0.0023523,0.5
525,1084.8,155.25,-0.032337,0.0012131,0.0097828,0.5
527.5,1084.9,153.75,-0.18589,-0.097712,0.10006,0.5
529.87,1084.8,152.96,0.0093186,-0.0072675,0.011945,0.5
532.4,1086.8,153.14,0.43821,-0.0053857,0.19349,0.5
532.41,1087.1,153.23,0.55121,0.6178,0.1864,0.5
529.85,1084.8,152.97,0.0023335,0.011088,0.0074171,0.5
