"Points:0","Points:1","Points:2","U:0","U:1","U:2","alpha.water"
417.01,1192.5,145.4,0,0,0,0.5
417.24,1192.2,145.53,0,0,0,0.5
417.42,1192.5,146.18,-5.9327,1.8235,-2.6293,0.5
417.58,1194.9,146.57,-11.523,3.0711,-4.6109,0.5
414.96,1195.4,144.57,0,0,0,0.5
415.54,1194.9,144.76,0,0,0,0.5
415.14,1196.8,145.5,-13.864,2.1166,-4.6698,0.5
596.62,1052.3,153.77,-2.6496,-0.032682,0.72429,0.5
594.64,1052.2,154.11,-2.318,-0.53075,-0.066561,0.5
594.64,1051.4,153.91,-0.2005,-0.54867,-0.10155,0.5
596.41,1050.4,153.36,0.6669,0.14845,-0.64153,0.5
516.97,1057.4,150.65,0.13479,-1.0969,-2.4231,0.5
513.76,1057.6,150.51,0.45759,-0.80479,-0.74047,0.5
513.85,1056.3,149.45,0,0,0,0.5
517.02,1056.4,150.51,0.044815,-2.5149,1.9438,0.5
555.78,1054.9,154.65,-0.038314,-0.040659,-0.0090151,0.5
557.98,1054.9,154.37,-0.021911,-0.03197,0.0018524,0.5
557.81,1057.2,154.98,-0.19261,-0.13625,-0.0023872,0.5
555.48,1054.9,154.7,-0.044411,-0.045924,-0.01236,0.5
555.28,1057.4,155.26,-0.44703,-0.32312,-0.10024,0.5
561.15,1054.1,154.65,-0.020648,-0.033875,0.0028499,0.5
562.95,1054.6,154.36,-0.017012,-0.037533,0.0051373,0.5
560.51,1057,154.71,-0.042865,-0.053195,0.005486,0.5
562.88,1057.2,154.59,-0.033709,-0.054768,0.0093372,0.5
564.88,1054.8,154.47,-0.012692,-0.041097,0.0058704,0.5
567.12,1054.9,154.74,-0.0082973,-0.040969,0.0063238,0.5
564.98,1057.4,154.51,-0.02492,-0.059598,0.011036,0.5
567.21,1057.6,154.71,-0.016495,-0.065301,0.012522,0.5
570,1055,155.1,-0.0059668,-0.040565,0.0068303,0.5
572.91,1055.1,154.78,-0.0030504,-0.039247,0.0071948,0.5
570.02,1057.7,154.92,-0.011851,-0.067298,0.014448,0.5
572.97,1057.8,154.66,-0.006182,-0.061991,0.014539,0.5
575.03,1055.2,154.43,0.0037323,-0.03067,0.0067794,0.5
577.47,1055.1,154.76,0.009267,-0.020344,0.0050981,0.5
575.06,1057.8,154.15,0.010248,-0.056827,0.010698,0.5
577.15,1057.7,154.61,0.034173,-0.040815,0.0029287,0.5
580.07,1054.8,154.5,0.008888,-0.015219,0.004123,0.5
582.31,1054.7,154.42,0.0052126,-0.0023974,0.0043027,0.5
579.69,1057.3,154.74,0.025158,-0.030369,0.0016677,0.5
582.24,1057.1,154.8,0.011378,-0.026916,0.0054976,0.5
584.73,1054.8,155.1,-0.36754,1.5897,-0.035298,0.5
587.27,1054.8,155.47,-1.428,2.451,-0.22843,0.5
584.82,1057.1,155.31,-0.041209,0.28398,-0.043224,0.5
587.35,1057.3,155.47,-0.27554,0.94525,-0.13669,0.5
589.89,1054.9,155.25,-2.0351,1.6528,-0.21281,0.5
592.36,1054.8,154.54,-2.573,0.83583,0.015631,0.5
589.87,1057.3,155,-0.36681,1.2488,-0.2547,0.5
592.37,1057.3,154.06,-0.24637,0.87996,-0.29534,0.5
594.72,1054.9,153.63,-2.1348,0.5194,0.1366,0.5
596.72,1054.9,153.79,-1.1367,0.30914,0.10441,0.5
594.94,1057,152.58,-0.8914,0.70927,-0.10893,0.5
510.3,1060.6,150.17,-0.29287,-0.80169,0.016473,0.5
512.55,1060.1,151.22,-0.73176,-0.85804,-0.079775,0.5
510.05,1062.9,151.19,0.00060387,-0.88336,-0.84381,0.5
512.52,1062.3,151.75,0.028297,-0.010982,0.0088805,0.5
514.7,1060.1,151.69,0.026603,0.011646,-0.00025207,0.5
517.35,1059.7,150.06,0.00029534,-0.00024493,-0.00026624,0.5
514.83,1062.7,151.88,0.022726,0.0036464,-0.0047365,0.5
517.63,1061.9,151.31,0.11173,-0.0058037,-0.01119,0.5
549.57,1062,153.59,0.1102,0.097276,-0.040523,0.5
551.49,1060.4,154.46,-0.0047339,-0.044526,-0.011154,0.5
552.18,1060.4,154.9,0.06827,-1.0547,0.25414,0.5
549.64,1062.7,153.87,0.82103,-2.5692,1.378,0.5
552.05,1062.7,154.92,0.3479,-1.4546,0.40375,0.5
554.96,1060,155.62,-0.26,-0.14444,0.0025981,0.5
557.61,1059.8,155.83,-0.18938,-0.10138,-0.0016017,0.5
554.68,1062.6,155.84,-0.071478,-0.076115,0.011193,0.5
557.43,1062.4,156.67,-0.06167,-0.06816,-0.0089057,0.5
562.46,1062.4,156.57,-0.043476,-0.067748,0.0010623,0.5
562.8,1059.8,155.65,-0.10431,-0.066427,0.015219,0.5
562.77,1062.4,156.56,-0.042378,-0.067936,0.0017856,0.5
560.15,1062.3,156.66,-0.052587,-0.066395,-0.004105,0.5
560.26,1059.7,155.71,-0.13409,-0.072864,0.0059002,0.5
565.19,1062.4,156.41,-0.032989,-0.071198,0.0065714,0.5
567.41,1060.1,155.56,-0.056914,-0.15465,0.016166,0.5
567.54,1062.5,156.39,-0.02338,-0.074728,0.0094262,0.5
565.11,1060,155.55,-0.087117,-0.109,0.016492,0.5
570.01,1062.5,156.41,-0.01458,-0.075793,0.010842,0.5
572.76,1060.1,155.57,-0.021573,-0.10737,0.020285,0.5
572.48,1062.4,156.38,-0.0068633,-0.074232,0.010295,0.5
570.03,1060.2,155.68,-0.041127,-0.15645,0.022244,0.5
574.68,1062.1,156.34,0.00097121,-0.075639,0.0075778,0.5
577,1059.8,155.38,0.090709,-0.1403,-0.014782,0.5
576.87,1062,156.57,0.0071519,-0.075949,0.0039794,0.5
574.94,1059.9,155.25,0.042494,-0.12579,0.005486,0.5
579.36,1059.7,155.23,0.094217,-0.10898,-0.017304,0.5
582.08,1059.5,155.25,0.025436,-0.066021,0.0033414,0.5
579.3,1062,156.38,0.077009,-0.092169,0.012501,0.5
582.05,1062,156.46,0.065406,-0.1097,0.010758,0.5
584.92,1059.5,155.56,-0.034104,-0.11503,-0.020557,0.5
