"Points:0","Points:1","Points:2","U:0","U:1","U:2","alpha.water"
422.52,1112.5,141.89,-7.8249,-5.2119,-1.4929,0.5
420,1112.5,140.72,-0.53129,-0.41325,-0.057824,0.5
420,1112.4,140.75,-0.58254,-0.43791,0.020815,0.5
422.43,1110.4,142.65,-10.331,-7.5563,-0.54651,0.5
427.42,1109.9,142.44,-11.914,-9.0887,-1.3888,0.5
427.54,1111.9,142.84,-11.228,-8.0865,-3.254,0.5
425.39,1112.6,142.52,-11.881,-7.7284,-2.9053,0.5
425.4,1109.9,142.83,-12.428,-9.2196,-1.1384,0.5
425.04,1112.6,142.43,-11.211,-7.2115,-2.603,0.5
424.93,1110,142.91,-12.234,-9.0196,-1.0732,0.5
430.21,1110.2,142.19,-10.929,-8.2364,-3.8747,0.5
430.05,1110,142.05,-9.3186,-7.1129,-3.2909,0.5
432.44,1110.5,141.49,-2.9904,-1.9738,-1.0998,0.5
431.67,1110,141.25,0,0,0,0.5
415.02,1116.8,142.45,-11.369,-7.5294,-0.91141,0.5
417.53,1115,141.86,-7.4078,-5.1672,-1.3839,0.5
417.95,1116.6,142.01,-6.3981,-4.4629,-1.1952,0.5
415.13,1115,141.42,-3.5785,-2.6943,-0.05519,0.5
474.65,1099.5,149.18,-6.3618,-8.9143,-1.872,0.5
476.49,1099.9,149.58,-5.4128,-8.2388,-1.6713,0.5
475.12,1101.6,149.45,-6.3434,-8.7585,-1.4746,0.5
476.96,1102,149.86,-5.7202,-7.9923,-1.0969,0.5
478.74,1102.5,150.05,-4.84,-7.4261,-0.71123,0.5
478.66,1102.5,150.06,-4.8823,-7.4074,-0.73911,0.5
478.62,1102.3,150.02,-4.8125,-7.4363,-0.79802,0.5
477.02,1104,149.98,-5.7231,-8.3275,-1.0893,0.5
477.48,1104.2,150.08,-5.6723,-8.0721,-0.86574,0.5
477.83,1105.5,150.27,-5.4775,-8.2957,-1.1569,0.5
479.48,1105,150.32,-4.8906,-7.3669,-0.22007,0.5
479.17,1104.7,150.33,-5.05,-7.3221,-0.26331,0.5
479.8,1104.8,150.31,-4.7919,-7.3662,-0.22428,0.5
435.08,1112.3,144.76,-10.526,-9.3273,-7.1429,0.5
438,1111.8,144.73,-3.2539,-3.2998,-2.2929,0.5
437.96,1112.6,145.16,-3.1646,-3.2722,-2.7251,0.5
435.12,1112.6,144.81,-10.332,-9.3529,-7.1325,0.5
481.5,1109.2,150.83,-4.41,-6.9971,-0.2033,0.5
481.09,1110,151.18,-4.8389,-7.4326,-0.56975,0.5
480.02,1109.3,150.95,-4.9445,-7.7909,-0.74187,0.5
430.17,1115.5,144.58,-9.971,-8.0992,-5.9759,0.5
430.84,1115.1,144.68,-11.249,-9.1951,-6.8527,0.5
432.59,1115.1,145.24,-10.289,-8.9309,-7.1861,0.5
430.43,1118,145.5,-4.1262,-3.1494,-3.4574,0.5
432.57,1117.8,146.13,-5.5088,-4.5784,-3.9497,0.5
