"Points:0","Points:1","Points:2","U:0","U:1","U:2","alpha.water"
471.67,1055,140.91,-0.8925,-2.4372,0.039451,0.5
472.05,1055,140.58,-0.4787,-1.5164,-0.29197,0.5
472,1055.2,140.62,-0.46355,-1.0309,0.037314,0.5
422.52,1112.5,141.97,-8.1872,-5.9136,-1.5441,0.5
420,1112.5,140.9,-1.6362,-1.3464,-0.20863,0.5
420,1112.2,140.98,-1.6294,-1.32,0.05537,0.5
422.43,1110.3,142.73,-10.505,-8.3055,-0.70295,0.5
425.04,1112.6,142.55,-11.798,-8.1889,-2.7668,0.5
427.43,1109.9,142.57,-11.496,-9.813,-1.6847,0.5
427.53,1111.6,143.01,-10.976,-8.6512,-3.3646,0.5
424.93,1109.9,143.14,-12.079,-9.8598,-1.5859,0.5
430.26,1110.3,142.14,-10.481,-9.1331,-3.4784,0.5
429.88,1110,141.5,-4.7376,-4.1794,-1.5269,0.5
432.53,1110.4,141.5,-2.4661,-1.9949,-0.95575,0.5
430.73,1110,141.08,0,0,0,0.5
415.02,1116.4,142.48,-11.817,-8.3713,-0.75653,0.5
417.54,1115,142.26,-10.191,-7.302,-2.1035,0.5
417.7,1115.7,142.33,-9.8195,-7.0358,-2.0269,0.5
415.1,1115,141.72,-5.9912,-4.5412,-0.13528,0.5
435.06,1112.2,144.82,-10.478,-9.9646,-7.1456,0.5
437.91,1111.3,145.12,-5.534,-5.6939,-3.9835,0.5
437.88,1112.6,145.65,-4.631,-4.8936,-4.0521,0.5
435.12,1112.6,144.94,-10.046,-9.9093,-7.2449,0.5
427.58,1117.3,144.63,-11.699,-9.2538,-6.1201,0.5
427.58,1117.6,144.84,-11.379,-8.9399,-6.2471,0.5
426.42,1117.6,144.6,-11.759,-9.1677,-6.0521,0.5
430.1,1115.1,144.66,-11.039,-9.5581,-6.8957,0.5
430.13,1115.1,144.67,-11.102,-9.614,-6.9397,0.5
432.59,1115.1,145.48,-9.6647,-9.0998,-7.3891,0.5
430.4,1117.9,145.67,-4.5443,-3.7695,-3.7215,0.5
432.57,1117.7,146.23,-5.8562,-5.2397,-4.1246,0.5
435.3,1115.3,146.13,-5.8671,-5.9108,-4.6745,0.5
437.58,1115,146.53,-7.2492,-6.994,-4.6555,0.5
435.04,1117.5,146.54,-6.5721,-6.2263,-4.3156,0.5
437.11,1117.2,147.55,-9.4369,-9.1293,-4.6861,0.5
420.07,1121.3,144.73,-12.735,-8.0944,-5.487,0.5
421.12,1120.1,144.72,-12.557,-8.4458,-5.457,0.5
422.58,1120.1,145.23,-12.117,-8.5196,-4.9765,0.5
420.07,1122.6,145.1,-12.617,-7.925,-5.1195,0.5
422.92,1122.9,145.66,-6.4795,-4.2954,-2.4779,0.5
425.4,1120.4,145.62,-5.709,-4.1017,-2.9131,0.5
427.59,1120.3,145.94,-6.172,-4.1774,-2.9881,0.5
425.13,1122.6,146.04,-6.9959,-3.784,-1.4009,0.5
427.4,1122.4,146.94,-10.48,-5.7118,-2.146,0.5
432.08,1121.4,147.68,-11.464,-7.8351,-3.5671,0.5
430.42,1122.2,147.42,-11.716,-7.8092,-3.2962,0.5
429.68,1122.2,147.26,-11.41,-7.2185,-3.012,0.5
432.31,1119.8,147.37,-9.7423,-6.7036,-3.4822,0.5
430.05,1120.1,146.23,-6.343,-4.2182,-2.9924,0.5
434.59,1119.6,147.67,-10.6,-7.9761,-3.9492,0.5
435.04,1119.5,147.74,-10.975,-8.5663,-4.2797,0.5
434.55,1119.8,147.66,-11.053,-8.0284,-3.9104,0.5
417.54,1126.5,144.76,-13.014,-8.2314,-4.1793,0.5
417.54,1127.5,145.16,-12.702,-8.3503,-3.6499,0.5
415.35,1127.5,144.83,-12.723,-8.3833,-4.6181,0.5
422.8,1125.1,145.92,-7.2128,-4.4689,-2.0813,0.5
422.6,1127.5,145.98,-6.914,-4.2992,-1.6422,0.5
420.05,1125,145.29,-12.833,-8.0168,-4.0817,0.5
420.38,1127.8,145.55,-5.9782,-4.1566,-1.6748,0.5
424.96,1125,146.84,-10.534,-5.7738,-1.5584,0.5
426.94,1124.8,147.16,-11.886,-7.464,-2.6849,0.5
424.8,1127.2,146.66,-12.288,-7.7182,-2.2962,0.5
412.33,1129.9,144.94,-13.05,-7.9973,-4.998,0.5
412.25,1132.4,145.09,-13.479,-7.8284,-4.2201,0.5
411.53,1132.4,144.81,-13.558,-7.7448,-4.2799,0.5
412.01,1129.9,144.82,-13.122,-7.9341,-4.8647,0.5
417.84,1130.3,145.79,-7.3581,-5.326,-2.0759,0.5
417.71,1132.5,146.16,-8.9483,-5.8838,-2.0342,0.5
414.95,1130,145.75,-12.682,-8.2541,-3.7508,0.5
414.94,1132.5,145.84,-12.811,-7.7915,-2.8868,0.5
422.25,1132.3,147.12,-11.837,-7.0271,-1.3771,0.5
422.15,1132.4,147.12,-11.835,-7.0144,-1.3536,0.5
420,1132.5,146.94,-9.0933,-7.4313,-1.5876,0.5
422.4,1130,147,-9.5862,-6.9032,-1.4435,0.5
420.13,1130.1,146,-6.8885,-5.3161,-1.4467,0.5
412.25,1134.9,145.17,-13.543,-7.2582,-3.3075,0.5
412.34,1137.4,145.02,-13.473,-6.76,-3.4032,0.5
409.92,1137.4,144.01,-13.455,-6.9104,-3.7699,0.5
410.31,1134.7,144.47,-13.63,-7.3597,-3.8363,0.5
415.45,1135.3,145.19,-5.8278,-3.4414,-1.4556,0.5
417.58,1135,146.16,-9.2581,-5.5652,-2.0012,0.5
415.46,1137.2,145.18,-6.2,-3.2726,-1.5234,0.5
417.59,1137.5,146.09,-9.3994,-5.2177,-2.0438,0.5
419.88,1137.5,147.07,-10.413,-7.04,-0.46843,0.5
419.91,1135,147.08,-9.6608,-7.2015,-1.0245,0.5
421.04,1135,147,-11.717,-6.8878,-0.78017,0.5
420.51,1137.5,146.86,-12.179,-6.9467,-0.84828,0.5
409.73,1140.4,143.97,-12.988,-6.5213,-4.5272,0.5
410,1140.1,144,-13.076,-6.5735,-4.4468,0.5
412.4,1140.1,144.97,-13.277,-6.7577,-4.1188,0.5
409.88,1142.7,144.78,-12.427,-5.9459,-4.9656,0.5
412.8,1142.9,145.48,-7.0697,-3.3687,-2.5013,0.5
417.71,1140,145.96,-9.2701,-4.8609,-2.0842,0.5
417.56,1142.6,145.83,-8.4516,-4.336,-1.8615,0.5
415,1140,145.6,-13.207,-6.6165,-2.9113,0.5
415.06,1142.8,145.78,-8.1372,-4.1126,-2.0378,0.5
419.9,1140,146.64,-11.69,-6.9814,-0.49606,0.5
420.11,1140,146.55,-12.354,-6.972,-0.84692,0.5
419.89,1141.1,146.58,-12.435,-7.0116,-0.93322,0.5
410.33,1145.4,145.51,-6.6228,-2.1479,-3.077,0.5
412.58,1145.1,145.88,-7.4512,-2.4705,-1.5263,0.5
410.36,1147.7,145.53,-5.2309,0.15878,-1.0596,0.5
412.53,1147.5,146.64,-11.84,-4.8439,-0.93968,0.5
414.99,1145,146.62,-11.536,-4.9144,-0.39162,0.5
417.44,1144.9,146.63,-12.454,-6.5154,-0.84699,0.5
417.44,1145,146.62,-12.474,-6.5579,-0.87659,0.5
414.98,1146.6,146.62,-12.511,-6.4818,-0.9105,0.5
410.29,1171.6,144.33,-4.7638,-1.8343,-2.2642,0.5
411.26,1169.6,145.98,-12.647,-5.2816,-6.8627,0.5
411.6,1169.4,146.41,-12.514,-5.5585,-7.014,0.5
410.38,1172.4,144.35,-2.064,-0.97105,-1.3439,0.5
412.51,1172.5,145.87,-6.3562,-2.7111,-3.5058,0.5
407.84,1175.6,143.33,-1.0409,-0.24668,-0.20701,0.5
408.06,1175.6,143.39,-0.47558,-0.1575,-0.25715,0.5
407.9,1176.7,143.73,0,0,0,0.5
412.42,1178,146.36,-4.0893,-0.96829,-1.8489,0.5
412.51,1175,146.83,-12.289,-3.4676,-5.4388,0.5
412.67,1175.4,146.9,-11.993,-3.3841,-5.3079,0.5
409.92,1177.4,144.91,-0.11733,-0.027782,-0.053048,0.5
409.82,1174.8,144.6,-2.1038,-0.6729,-1.2461,0.5
411.4,1180,145.57,0,0,0,0.5
412.75,1180.1,146.35,-2.576,-0.41668,-1.0711,0.5
413.2,1182.4,146.12,0,0,0,0.5
413.31,1182.4,146.2,-0.22886,-0.010579,-0.10213,0.5
400.45,1187.4,145.92,-12.496,-0.35944,1.3634,0.5
401.56,1185.3,144.28,0,0,0,0.5
402.34,1185.6,145.18,-4.1744,-0.22531,0.89635,0.5
402.28,1187.4,145.81,-5.1753,-0.31796,1.392,0.5
404.41,1185.9,144.06,-6.0604,-1.791,0.26505,0.5
407.25,1186.5,144.05,-6.9253,-0.86974,-1.1143,0.5
406.89,1187.5,144.62,-10.608,-1.1646,-1.5717,0.5
404.1,1187.8,145.03,-5.2538,-0.47712,1.4332,0.5
413.09,1185.4,146.46,-5.371,0.27223,-2.0232,0.5
412.4,1187.5,146.09,-6.6003,0.33454,-2.4863,0.5
410.66,1187.5,144.19,0,0,0,0.5
412.88,1184.4,146.24,-2.3247,0.0056855,-1.0954,0.5
411.33,1185.1,145.06,0,0,0,0.5
392.51,1192.5,146.29,-7.8611,-0.45782,1.2817,0.5
390.22,1192.4,147.42,-11.366,-0.43815,1.9936,0.5
390.26,1192.1,147.44,-11.071,-0.4109,1.8156,0.5
392.69,1191.1,146.7,-7.0831,-0.29457,1.0967,0.5
397.51,1192.4,146,-9.2062,0.19565,0.081384,0.5
395.01,1192.5,146.23,-9.7413,-0.23079,0.77198,0.5
395.18,1190.7,146.53,-8.9692,-0.42523,0.87363,0.5
397.66,1190.2,146.48,-10.656,-0.39903,0.49813,0.5
400.1,1189.7,146.41,-12.688,-0.39839,0.45051,0.5
402.36,1189.2,146.08,-12.488,-0.61773,2.8944,0.5
400.01,1192.3,146.26,-12.878,0.32629,-0.21542,0.5
402.46,1192.2,146.2,-13.121,0.83748,1.6046,0.5
407.19,1189.7,145.09,-10.534,-0.92532,0.3287,0.5
407.31,1192.3,145.39,-11.38,0.22083,1.489,0.5
404.46,1189.7,145.55,-6.9247,-0.29543,1.734,0.5
404.76,1192.2,145.82,-8.6272,0.41325,2.1855,0.5
410.38,1189.6,144.29,-1.7745,0.019268,-0.41138,0.5
412.47,1189.8,145.65,-5.2025,0.19351,-1.8356,0.5
410.27,1191.7,144.92,-6.2437,0.16483,-1.0771,0.5
412.39,1192.3,145.69,-7.9569,0.18682,-2.6744,0.5
405.36,1194.9,146.23,-13.149,1.0973,3.2391,0.5
407.42,1195.1,145.39,-10.392,0.4825,2.1478,0.5
407.45,1196.1,145.8,-13.455,0.8642,3.128,0.5
412.5,1194.8,145.88,-12.45,0.89599,-3.6761,0.5
409.77,1197,145.11,-13.546,1.1839,0.29419,0.5
409.87,1194.9,145.23,-12.654,0.68946,-1.2293,0.5
412.51,1195.1,145.87,-13.488,1.1718,-3.8676,0.5
569.98,1052.4,154.77,-0.075045,-0.82251,0.065315,0.5
569.98,1052.4,154.77,-0.074925,-0.82184,0.065514,0.5
570.17,1052.4,154.75,-0.072707,-0.82262,0.067529,0.5
580.4,1051.4,154.15,0.0011146,-0.73323,0.090172,0.5
580.41,1051.3,154.13,0.0060066,-0.72864,0.094833,0.5
580.59,1051.5,154.17,0.021043,-0.72695,0.093192,0.5
587.3,1052.3,155.1,-0.019967,-0.80493,0.019113,0.5
584.76,1052.4,154.88,0.073998,-0.79499,0.038599,0.5
584.79,1051.9,154.67,0.13765,-0.65063,0.056066,0.5
587.35,1051.3,154.7,0.10101,-0.5794,0.044793,0.5
592.38,1052.2,154.67,-0.30405,-0.93265,0.04518,0.5
589.92,1052.2,155.18,-0.13054,-0.83513,-0.0061907,0.5
589.93,1051.4,154.75,0.055737,-0.62216,0.048895,0.5
592.4,1051.2,154.3,0.027363,-0.58842,0.056971,0.5
596.63,1052.3,153.84,-1.0479,-1.0059,0.87362,0.5
594.63,1052.2,154.37,-0.58302,-0.98008,0.3018,0.5
594.64,1050.5,154.06,-0.047184,-0.45822,0.018807,0.5
596.4,1050.3,153.38,0.010181,-0.18519,-0.065321,0.5
516.97,1057.4,150.57,-0.12982,-1.1287,-1.7214,0.5
513.6,1057.6,150.16,0.027709,-0.724,-0.33899,0.5
513.66,1056.6,149.37,0,0,0,0.5
517.01,1056.5,150.45,0.0068724,-1.5859,1.1479,0.5
552.45,1057.7,155.53,-0.034483,-2.5782,0.098411,0.5
549.22,1057.9,154.86,-0.71326,-1.6808,-0.23483,0.5
549.22,1057.9,154.85,-0.73625,-1.6379,-0.24505,0.5
552.67,1055.4,154.94,-1.0167,-1.0387,-0.20748,0.5
555.46,1054.9,154.89,-0.58508,-0.87436,-0.14378,0.5
557.98,1054.8,154.55,-0.43226,-0.70534,-0.0303,0.5
555.26,1057.4,155.55,-0.67465,-0.92391,-0.1578,0.5
557.8,1057.2,155.62,-0.60864,-0.74374,-0.09701,0.5
561.06,1054.2,154.92,-0.33882,-0.65652,0.0056836,0.5
562.92,1054.6,154.75,-0.2795,-0.65288,0.024638,0.5
560.45,1057.1,155.6,-0.49929,-0.71269,-0.036615,0.5
562.83,1057.2,155.57,-0.40699,-0.7458,0.0034599,0.5
564.9,1054.8,154.97,-0.18621,-0.70786,0.025898,0.5
567.16,1054.9,155.26,-0.12513,-0.74077,0.024622,0.5
565,1057.4,155.63,-0.27882,-0.82763,0.018142,0.5
567.29,1057.6,155.8,-0.1876,-0.88465,0.034947,0.5
570,1055,155.59,-0.10868,-0.75627,0.03029,0.5
572.86,1055.1,155.3,-0.099429,-0.78885,0.048259,0.5
570.03,1057.7,155.96,-0.14359,-0.90352,0.053347,0.5
572.85,1057.7,155.81,-0.12241,-0.92347,0.068462,0.5
575.04,1055.2,154.98,-0.044574,-0.8072,0.062538,0.5
577.47,1055.1,155.27,0.024127,-0.76068,0.048535,0.5
575.05,1057.7,155.54,-0.057811,-0.97566,0.074141,0.5
577.22,1057.6,155.83,0.070014,-0.96053,0.057701,0.5
580.04,1054.8,155,0.049593,-0.69083,0.034078,0.5
582.31,1054.7,154.81,0.056226,-0.69391,0.033182,0.5
579.7,1057.3,155.69,0.11807,-0.81786,0.049403,0.5
582.24,1057.1,155.52,0.093911,-0.74814,0.042671,0.5
584.73,1054.8,155.27,0.019907,-0.81777,0.0053208,0.5
587.27,1054.8,155.58,-0.054696,-0.87111,0.043171,0.5
584.82,1057.1,155.7,0.057016,-0.7933,0.051637,0.5
587.35,1057.3,155.82,-0.06997,-0.88835,0.08124,0.5
592.3,1057.3,154.85,-0.077005,-0.91755,0.42535,0.5
592.36,1054.8,154.91,-0.2038,-0.95002,0.28467,0.5
592.36,1057.2,154.83,-0.07764,-0.9212,0.43193,0.5
589.87,1057.3,155.52,-0.14279,-0.89907,0.13378,0.5
589.88,1054.9,155.45,-0.13771,-0.87531,0.10222,0.5
594.72,1054.9,154.03,-0.12702,-0.79423,0.36379,0.5
596.03,1054.9,154.05,-0.085238,-0.65883,0.28043,0.5
594.82,1055.9,153.59,-0.11485,-0.83963,0.43042,0.5
510.29,1060.9,149.86,0,0,0,0.5
510.56,1060.5,149.89,0,0,0,0.5
512.55,1060.1,151.1,-0.62251,-1.3833,0.10424,0.5
510.06,1063,150.95,0.021328,-1.3524,-0.81555,0.5
512.52,1062.3,151.69,0.010608,-0.00055274,-0.0012059,0.5
514.7,1060.1,151.61,0.019523,-0.0008685,-0.008193,0.5
517.34,1059.7,150.1,0.011993,-0.020709,-0.022791,0.5
514.83,1062.7,151.84,0.020432,-0.014915,-0.0035864,0.5
517.63,1061.9,151.27,0.063729,-0.033069,-0.0021035,0.5
544.86,1060.3,153.39,-1.9989,-2.3686,-0.92065,0.5
545.09,1060.2,153.48,-1.9436,-2.3302,-0.88581,0.5
547.04,1060.2,154.16,-0.55111,-3.9571,-0.13333,0.5
544.79,1062.7,153.16,-1.4905,-4.8544,0.63958,0.5
547.24,1062.6,154.13,-0.48673,-4.3227,0.65836,0.5
549.47,1060.4,154.78,0.32938,-3.9705,0.12131,0.5
552.19,1060.3,155.6,0.081549,-2.6934,0.024247,0.5
549.65,1062.7,154.9,0.18632,-3.2436,0.25609,0.5
552.08,1062.7,155.64,0.092437,-2.2393,-0.0017889,0.5
554.95,1060,156.05,-0.61722,-1.0432,-0.19258,0.5
557.6,1059.8,156.22,-0.65769,-0.84705,-0.16221,0.5
554.7,1062.6,156.21,-0.45073,-1.3205,-0.13914,0.5
557.43,1062.4,156.49,-0.72447,-0.95033,-0.17799,0.5
560.64,1062.3,156.65,-0.60823,-0.95634,-0.13231,0.5
562.78,1059.8,156.3,-0.4791,-0.85972,-0.059205,0.5
562.77,1061.4,156.55,-0.50699,-0.92882,-0.080433,0.5
560.15,1062.3,156.64,-0.62826,-0.95212,-0.14115,0.5
560.25,1059.7,156.27,-0.57519,-0.82897,-0.1062,0.5
565.13,1060.7,156.43,-0.37854,-0.94864,-0.036548,0.5
567.44,1060.1,156.37,-0.25241,-0.97834,-0.0060864,0.5
567.46,1060.5,156.44,-0.25942,-0.98562,-0.010026,0.5
565.11,1059.9,156.31,-0.36356,-0.92472,-0.027882,0.5
570.04,1060.2,156.48,-0.17447,-0.97744,0.011742,0.5
572.02,1060.1,156.46,-0.12512,-0.933,0.015648,0.5
570.04,1060.4,156.51,-0.1763,-0.98045,0.009432,0.5
579.38,1061.2,156.75,0.086073,-0.88683,-0.046701,0.5
582.07,1062,157.13,0.088442,-0.85414,-0.077243,0.5
581.35,1062,157.08,0.079313,-0.86254,-0.07474,0.5
579.45,1059.7,156.37,0.13193,-0.88104,-0.01235,0.5
582.12,1059.5,156.42,0.11434,-0.80117,-0.012474,0.5
586.14,1062.1,157.05,0.10277,-0.82269,-0.07515,0.5
587.4,1059.6,156.27,0.019864,-0.87416,-0.011774,0.5
587.39,1061.7,156.9,0.096389,-0.82823,-0.057244,0.5
584.84,1062.1,157.08,0.088445,-0.83221,-0.082795,0.5
584.88,1059.5,156.36,0.053988,-0.82907,-0.010329,0.5
506.2,1066.6,149.62,0,0,0,0.5
506.91,1066,149.5,0,0,0,0.5
506.97,1066,149.58,0.0063809,-0.0024192,-0.013742,0.5
507.12,1066.4,150.31,0.086047,0.26443,-1.6895,0.5
510,1064.7,151.27,0.054636,-0.021689,0.044083,0.5
512.54,1064.9,151.91,1.1776,1.472,1.1696,0.5
510.1,1067,151.34,-0.41948,1.0015,0.42151,0.5
511.97,1067.7,152.43,0.44938,1.4909,0.86873,0.5
514.16,1065,151.04,0.97553,1.5791,1.2811,0.5
517.64,1064.6,150.96,0.13165,1.247,1.0314,0.5
514.84,1067.6,152.82,0.6125,1.0293,0.81644,0.5
517.54,1067.6,152.68,0.084355,0.70671,0.57179,0.5
520.62,1064.3,151.43,0.010761,1.3114,1.0144,0.5
522.7,1064.7,150.57,0.061925,0.35692,-0.41173,0.5
520.16,1067.4,152.63,-0.0017046,0.87539,0.60641,0.5
522.73,1067.5,152.82,-0.058644,0.11727,-0.030314,0.5
540.29,1068,151.34,-1.9904,-1.4512,-0.14045,0.5
541.08,1065.4,150.74,-1.6841,-0.929,-0.040604,0.5
542.15,1065.4,150.54,-2.3171,-2.1741,0.89947,0.5
542,1068,151.66,-3.6156,-2.0403,0.70812,0.5
552.05,1065,155.7,-0.55857,-1.6606,-0.068083,0.5
552.08,1065,155.71,-0.55673,-1.6581,-0.070452,0.5
552.08,1065.1,155.71,-0.5603,-1.6559,-0.071393,0.5
554.58,1065.1,156.29,-0.69747,-1.3462,-0.17485,0.5
555.21,1065.1,156.41,-0.73155,-1.2851,-0.18568,0.5
554.58,1065.3,156.33,-0.7274,-1.3366,-0.18353,0.5
508.03,1068.9,151.42,0.39637,3.2771,1.7294,0.5
508.08,1068.9,151.45,0.39544,3.468,1.7224,0.5
508.08,1069.3,151.71,0.52925,3.4495,1.747,0.5
510.85,1068.9,152.78,-0.83592,3.0959,1.7304,0.5
512.27,1070.5,153.35,-0.58391,0.57435,0.16141,0.5
510.44,1072.6,154.32,-0.94486,3.6424,2.0646,0.5
512.76,1072.6,154.53,-1.0755,-0.74786,-0.13345,0.5
515.28,1070.2,153.94,-0.022868,0.040089,0.070762,0.5
517.77,1070.4,153.69,-0.07687,0.11294,0.068882,0.5
515.36,1072.5,154.83,-0.87861,-0.77566,-0.10127,0.5
517.74,1072.4,154.32,-0.84827,-0.22008,0.02538,0.5
519.91,1070.2,154.11,-0.21215,0.4643,0.18087,0.5
522.5,1070.2,154.11,-0.64727,-0.044523,0.20261,0.5
519.91,1072.5,154.39,-1.0165,0.045504,0.14226,0.5
522.47,1072.7,154.15,-1.6514,-0.22611,0.4796,0.5
528.26,1073.1,149.65,-0.75391,-0.57272,0.73035,0.5
525.38,1072.8,153.19,-1.1666,-0.59331,0.52095,0.5
525.28,1070.4,153.27,-0.037782,-0.63453,-0.027108,0.5
528.18,1072.4,150.01,0.035782,-0.2151,0.16614,0.5
535.95,1073.4,150.98,-2.2096,-2.4083,0.11685,0.5
536.86,1070,152.61,-3.0111,-2.757,-0.59296,0.5
537.28,1070,152.83,-3.5366,-3.4604,-0.33526,0.5
537.15,1072.6,152.56,-3.0209,-3.5458,0.48216,0.5
539.63,1069.8,152.5,-4.2206,-2.9667,0.54413,0.5
540.99,1069.6,152.48,-4.301,-2.8677,0.59076,0.5
539.56,1071.8,152.82,-4.0071,-2.9096,0.69295,0.5
510.25,1075.8,154.63,-0.81834,2.5049,1.0093,0.5
512.6,1075.4,155.07,-1.003,-1.1954,-0.13752,0.5
510.3,1077.6,154.89,-0.41542,0.96098,0.13467,0.5
512.66,1077.6,154.64,-0.40363,-0.64928,-0.069638,0.5
515.21,1075.2,155.15,-1.2449,-1.1204,-0.067092,0.5
517.7,1074.9,154.97,-1.303,-0.45713,0.037362,0.5
515.14,1077.8,154.96,-0.58726,-0.585,-0.025223,0.5
517.61,1077.6,155.02,-1.1095,-0.41208,0.041637,0.5
520.02,1074.9,154.79,-1.4908,-0.23376,0.19825,0.5
522.53,1075.1,154.31,-2.2263,-0.36936,0.77483,0.5
520.05,1077.5,154.91,-1.5059,-0.34046,0.21751,0.5
522.56,1077.5,154.58,-1.8254,-0.40243,0.72175,0.5
525.18,1075.1,153.18,-1.7304,-0.54675,1.0576,0.5
528.09,1075.1,150.67,-1.0899,-0.66719,0.82276,0.5
524.74,1077.6,153.19,-2.053,-0.59091,1.3804,0.5
529.02,1077.7,151.25,-0.87048,-0.54581,0.73713,0.5
529.94,1074.3,148.84,-0.0084665,-0.0092774,-0.00020347,0.5
532.17,1074.3,150.33,-1.1019,-1.241,0.14241,0.5
529.91,1077.7,150.98,-0.28224,-0.55414,0.0022718,0.5
532.36,1076.9,151.33,-1.8176,-2.4813,0.14048,0.5
534.7,1074.7,151.13,-2.83,-3.3865,0.80686,0.5
536,1075,151.5,-3.1732,-3.4903,0.83386,0.5
534.71,1075.8,151.5,-3.0887,-3.702,0.63922,0.5
506.83,1082.3,154.59,-0.31216,-0.3392,-0.17872,0.5
507.64,1081.5,154.56,-0.1141,-0.089941,-0.08294,0.5
507.68,1082.4,154.86,-0.29937,0.17124,-0.067132,0.5
512.47,1082,155.11,0.041596,-0.56231,-0.0086617,0.5
510.09,1082.4,155.01,-0.050698,0.33904,0.033374,0.5
510.13,1080.6,154.73,-0.13304,-0.12929,-0.047943,0.5
512.61,1079.9,154.56,-0.10636,-0.11614,-0.024851,0.5
514.9,1078.9,154.56,-0.17329,-0.38794,-0.027906,0.5
517.64,1079.6,155.06,-0.49785,-0.37906,0.015873,0.5
514.81,1081.5,155.31,0.11744,-0.60434,-0.017673,0.5
516.98,1080.7,155.29,0.13043,-0.38067,0.011145,0.5
520.07,1079.9,155,-0.95409,-0.30336,0.1766,0.5
522.67,1080,154.72,-1.4152,-0.38169,0.53734,0.5
520.04,1082,154.93,-0.22435,-0.23548,0.099113,0.5
522.57,1082.3,154.88,-0.54677,-0.33701,0.17562,0.5
525.07,1079.9,153.7,-1.0437,-0.42812,0.61193,0.5
528.16,1079.7,151.37,-0.20541,-0.45599,0.17161,0.5
525.01,1082.3,154.71,-0.32618,-0.43021,0.12099,0.5
527.57,1082.3,153.9,-0.34663,-0.76501,0.14617,0.5
530.59,1079.2,151.75,-0.58768,-0.91654,0.06163,0.5
531.65,1082.1,154.62,-0.88711,-1.8913,-0.2136,0.5
530.08,1082.1,154.13,-0.76447,-1.3251,0.089777,0.5
531.63,1079.6,152.19,-0.97681,-1.8113,-0.15248,0.5
537.59,1081.9,154.62,-1.3496,-1.166,0.4177,0.5
