"Points:0","Points:1","Points:2","U:0","U:1","U:2","alpha.water"
596.63,1052.3,153.83,-2.1226,0.14173,1.2447,0.5
594.64,1052.2,154.08,-0.98296,0.031175,0.35881,0.5
594.65,1051.5,153.9,-0.085249,0.01664,-0.0048586,0.5
596.39,1050.3,153.39,-0.071548,0.27971,-0.26479,0.5
512.72,1057.6,149.27,-0.11815,-0.015752,0.07748,0.5
512.93,1057.4,149.1,0,0,0,0.5
512.92,1057.6,149.32,-0.083297,0.088593,0.20543,0.5
516.98,1057.4,150.7,0.19173,-1.4235,-2.8574,0.5
513.82,1057.6,150.65,0.72697,-0.95602,-0.93095,0.5
513.94,1056.1,149.49,0,0,0,0.5
517.03,1056.3,150.56,0.16563,-3.1225,2.4984,0.5
557.81,1057.2,154.95,-0.072257,-0.076071,-0.0045399,0.5
555.28,1057.4,155.25,-0.074286,-0.44419,-0.26746,0.5
555.48,1054.9,154.69,-0.14307,-0.073792,-0.068314,0.5
557.98,1054.9,154.38,-0.009941,-0.015506,0.0019078,0.5
561.15,1054.1,154.64,-0.0081348,-0.014804,0.0019853,0.5
562.96,1054.6,154.35,-0.0059607,-0.015257,0.0024158,0.5
560.51,1057,154.67,-0.015439,-0.023361,0.0028034,0.5
562.88,1057.2,154.54,-0.012106,-0.024167,0.0039008,0.5
564.88,1054.8,154.46,-0.0037636,-0.01581,0.0026322,0.5
567.12,1054.9,154.72,-0.0025251,-0.016316,0.0029503,0.5
564.98,1057.4,154.46,-0.0073424,-0.025099,0.004583,0.5
567.21,1057.6,154.66,-0.0048385,-0.025763,0.0053896,0.5
570,1055,155.09,-0.0021086,-0.017353,0.0034082,0.5
572.91,1055.1,154.77,-0.0011267,-0.017148,0.0039516,0.5
570.02,1057.7,154.87,-0.0045506,-0.02604,0.0062592,0.5
572.98,1057.8,154.6,-0.0032129,-0.026205,0.0067275,0.5
575.03,1055.2,154.42,0.0019914,-0.013823,0.0040641,0.5
577.47,1055.1,154.75,0.0043577,-0.010838,0.0033627,0.5
575.07,1057.8,154.09,0.0049409,-0.025666,0.00714,0.5
577.14,1057.7,154.56,0.01421,-0.0163,0.0063499,0.5
580.07,1054.8,154.49,0.0063432,-0.0068024,0.0024515,0.5
582.31,1054.7,154.41,0.0070491,-0.004357,0.0011118,0.5
579.69,1057.3,154.7,0.015776,-0.0078339,0.0029548,0.5
582.24,1057.1,154.78,0.010264,-0.0081075,0.0015008,0.5
584.73,1054.8,155.09,0.63782,2.1189,0.0285,0.5
587.27,1054.8,155.47,-0.52719,3.928,0.011837,0.5
584.82,1057.1,155.3,0.23417,1.0509,-0.068768,0.5
587.35,1057.3,155.46,-0.34201,2.1843,-0.039192,0.5
589.89,1054.9,155.24,-1.6128,2.5442,0.07349,0.5
592.36,1054.8,154.54,-1.1797,0.79554,0.18096,0.5
589.87,1057.3,154.98,-0.64887,1.6652,-0.022871,0.5
592.37,1057.3,154.03,-0.10273,0.18024,0.04293,0.5
594.73,1054.9,153.61,-0.4814,0.10031,0.15992,0.5
596.81,1054.9,153.76,-0.25515,-0.0022433,0.10611,0.5
594.95,1057.1,152.45,-0.17718,0.0032912,0.13545,0.5
505.96,1063,149.55,0,0,0,0.5
506.2,1062.9,149.6,0,0,0,0.5
506.13,1063,149.83,0.1353,0.5591,-0.05492,0.5
510.29,1060.6,150.39,-0.68838,-1.51,0.096745,0.5
512.55,1060.1,151.25,-0.83439,-0.076886,-0.13679,0.5
510.05,1062.9,151.29,-0.012119,-1.11,-0.81045,0.5
512.52,1062.3,151.76,0.052161,0.017197,0.020234,0.5
517.34,1059.7,150.05,0,0,0,0.5
517.35,1059.7,150.05,0,0,0,0.5
517.63,1061.9,151.32,0.088177,0.0056421,-0.013,0.5
514.7,1060.1,151.7,0.020746,0.0099646,-0.00099858,0.5
514.83,1062.7,151.89,0.040239,0.0051442,0.0026131,0.5
549.59,1062.2,153.55,0.42548,0.50096,-0.030786,0.5
551.63,1060.4,154.5,0.074329,0.071748,-0.053711,0.5
552.18,1060.4,154.86,0.051876,-1.1582,0.19822,0.5
549.64,1062.7,153.78,0.93488,-2.423,1.6904,0.5
552.05,1062.7,154.88,0.70244,-2.9749,0.98624,0.5
554.96,1060,155.6,0.00031171,-0.18973,-0.094451,0.5
557.61,1059.8,155.8,-0.11009,-0.046913,0.002228,0.5
554.68,1062.6,155.81,0.018254,-0.1318,0.0051149,0.5
557.43,1062.4,156.67,-0.033853,-0.031384,-0.0032196,0.5
560.26,1059.7,155.68,-0.093522,-0.046565,0.0037574,0.5
562.81,1059.8,155.61,-0.081265,-0.061072,0.00564,0.5
560.15,1062.3,156.67,-0.026703,-0.032734,-0.0013562,0.5
562.77,1062.4,156.56,-0.020628,-0.032462,0.00064912,0.5
565.19,1062.4,156.41,-0.015107,-0.03322,0.0027341,0.5
567.4,1060.1,155.51,-0.013117,-0.088825,0.013412,0.5
567.54,1062.5,156.39,-0.010314,-0.033934,0.0041237,0.5
565.11,1060,155.5,-0.036682,-0.0821,0.0083631,0.5
570.01,1062.6,156.41,-0.0065559,-0.034028,0.0045901,0.5
572.77,1060.1,155.51,-0.016942,-0.057203,0.013168,0.5
572.48,1062.4,156.38,-0.0030369,-0.033464,0.0038856,0.5
570.03,1060.2,155.63,-0.02375,-0.083535,0.018136,0.5
574.67,1062.2,156.35,0.00031814,-0.033478,0.0023373,0.5
577,1059.8,155.32,0.055944,-0.050182,-0.0037183,0.5
576.86,1062,156.58,0.0026407,-0.033121,0.00069891,0.5
574.94,1059.9,155.19,0.031481,-0.070837,0.0059574,0.5
579.36,1059.7,155.17,0.17499,0.076215,-0.037919,0.5
582.08,1059.5,155.19,0.023852,-0.0055236,-0.0031214,0.5
579.29,1062,156.35,0.052306,-0.026864,-0.02446,0.5
582.04,1062,156.42,0.054128,-0.0033403,-0.049787,0.5
584.92,1059.5,155.53,0.050407,0.40999,-0.088796,0.5
587.41,1059.6,155.57,-0.28597,0.77397,-0.027236,0.5
584.86,1062.1,156.42,-0.011377,0.078816,-0.053061,0.5
587.4,1062.1,156.54,-0.030056,0.08266,-0.02669,0.5
589.84,1059.6,155.69,-0.36628,0.40449,0.070407,0.5
592.06,1059.6,154.87,-0.029203,0.085992,-0.0021591,0.5
589.81,1062,156.26,0.020618,-0.018608,-0.0061021,0.5
505.83,1066.8,149.65,0,0,0,0.5
506.15,1065.8,149.66,0,0,0,0.5
507.12,1065.6,150.76,0.16352,0.097774,0.003239,0.5
507.17,1066.5,150.65,-1.0007,1.1865,0.44939,0.5
509.99,1064.8,151.55,0.21623,-0.052009,0.15422,0.5
512.53,1064.9,151.96,2.5945,3.1452,2.2,0.5
510.09,1067.1,151.44,-0.58566,3.5871,1.8649,0.5
511.97,1067.7,152.42,2.1102,5.6832,3.1628,0.5
514.16,1065,151.04,2.3598,2.8992,2.0075,0.5
517.63,1064.6,150.98,0.5814,1.6037,1.2693,0.5
