"Points:0","Points:1","Points:2","U:0","U:1","U:2","alpha.water"
406.24,1126.1,141.4,-3.7284,-8.9356,2.1334,0.5
406.27,1126.2,141.48,-4.0749,-9.086,2.0327,0.5
406.2,1126.1,141.42,-3.8112,-9.1342,2.1808,0.5
406.27,1126.2,141.36,-3.5034,-8.3965,2.0047,0.5
406.03,1130.9,141.36,-5.424,-3.5483,1.7501,0.5
406.95,1129.7,140.7,0,0,0,0.5
406.18,1130.8,141.44,-5.7807,-3.8118,1.455,0.5
407,1129.7,140.85,-0.92488,-0.63523,-0.11131,0.5
475.12,1101.6,149.48,-5.5089,-15.128,-3.3549,0.5
475.02,1101.1,149.35,-5.4367,-15.258,-3.2782,0.5
475.92,1101.8,149.5,-5.4881,-15.196,-3.2334,0.5
475.54,1103.7,150.39,-5.5066,-14.668,-3.4438,0.5
477.47,1104.2,150.22,-5.6234,-14.751,-3.3939,0.5
475.18,1106.8,151.03,-5.6074,-14.364,-3.4316,0.5
477.91,1106.3,151.07,-5.7508,-14.357,-3.508,0.5
479.3,1104.8,150.21,-5.4715,-14.785,-3.273,0.5
479.15,1104.7,150.25,-5.5097,-14.768,-3.2403,0.5
479.7,1104.7,150.28,-5.4311,-14.808,-3.1701,0.5
481.92,1109.4,151.52,-5.1425,-13.652,-3.4802,0.5
481.75,1109.7,151.69,-5.1582,-13.677,-3.5215,0.5
480.97,1109.6,151.53,-5.2719,-13.708,-3.5041,0.5
432.58,1117.5,144.38,-1.8595,-1.6506,-1.2706,0.5
432.58,1118,144.69,0.11306,0.2753,-0.41102,0.5
431.41,1118.2,144.08,0,0,0,0.5
435.43,1116.3,144.27,0,0,0,0.5
435.68,1117.4,145.37,-2.6191,-2.3916,-0.72421,0.5
434.98,1117.5,145.13,-0.43893,-0.31155,-0.60056,0.5
436.59,1115.3,144.32,0,0,0,0.5
437.51,1115,144.9,-1.0531,-0.93344,-0.77419,0.5
437.4,1115.4,145.06,-1.682,-1.5359,-0.4651,0.5
425.18,1122.7,144.13,-0.12079,-0.0062952,-0.086822,0.5
425.31,1122.3,143.92,0,0,0,0.5
425.46,1122.6,144.17,-1.1393,-0.61415,-0.13406,0.5
430.02,1120.1,144.51,0.21868,0.35034,0.048283,0.5
430.44,1120,144.67,-1.6184,-1.0112,-0.32298,0.5
429.99,1120.2,144.51,-0.67917,-0.31938,-0.048137,0.5
422.74,1126.8,144.04,0,0,0,0.5
422.58,1127.5,144.13,-0.031219,-0.013748,-0.046603,0.5
422.36,1127.6,144.04,0,0,0,0.5
418.29,1130.7,143.8,-0.14813,-0.10612,-0.059828,0.5
418.03,1132.6,144.4,-0.77976,-0.82575,-0.37782,0.5
416.76,1132.5,144.28,-4.768,-2.712,-0.94074,0.5
418.13,1130.7,143.79,-0.55942,-0.34505,-0.16116,0.5
420.17,1130.1,144.34,-0.81345,-0.50585,-0.21136,0.5
420.88,1130.1,144.51,-2.9024,-1.6868,-0.21795,0.5
420.15,1131.1,144.47,-3.7348,-2.2308,-0.087974,0.5
416.48,1137.1,143.73,0,0,0,0.5
416.57,1135.3,143.78,0,0,0,0.5
417.6,1134.9,144.49,-0.99126,-1.0159,-0.48382,0.5
417.61,1137.5,144.55,-1.0849,-1.2811,-0.58897,0.5
412.9,1142.1,143.91,-4.4805,-2.4441,-1.4098,0.5
413.06,1143.2,144.32,-1.7053,-0.94161,-0.80968,0.5
411.59,1143,143.88,-5.3884,-3.0274,-2.2648,0.5
415.02,1141.3,144.22,-6.8139,-3.6994,-1.4457,0.5
416.35,1140,144.19,-6.4482,-3.5009,-1.3681,0.5
417.91,1140,144.55,-1.2499,-1.2435,-0.92515,0.5
415.07,1143,144.6,-1.9369,-0.92704,-0.58485,0.5
417.52,1142.5,144.76,-2.3069,-1.034,-1.0002,0.5
412.6,1147,145.38,-8.3402,-4.597,-0.45383,0.5
412.02,1147.6,145.23,-7.5483,-4.1605,-0.41074,0.5
410.55,1147.7,144.63,-1.0911,0.46839,-0.27549,0.5
412.6,1145.2,144.99,-2.4567,-0.90313,-0.83863,0.5
410.61,1145.7,144.39,-1.4209,-0.51903,-1.1745,0.5
412.19,1172.5,144.7,0,0,0,0.5
412.28,1171.9,145.06,-2.0192,-0.98411,-1.1993,0.5
412.44,1172.5,144.99,-0.94469,-0.43296,-0.51592,0.5
413.26,1177.6,146.28,-2.4918,-0.72773,-1.129,0.5
413.1,1178.2,146.19,-1.2648,-0.29223,-0.5922,0.5
412.7,1177.7,145.87,0,0,0,0.5
412.1,1180.1,145.8,0,0,0,0.5
412.84,1180.1,146.33,-2.076,-0.2863,-0.8819,0.5
412.25,1182.4,145.75,0,0,0,0.5
412.92,1182.4,146.28,-1.8139,-0.0093107,-0.84093,0.5
400.85,1187.4,145.68,-9.2255,0.29651,0.99632,0.5
401.78,1185.5,144.3,0,0,0,0.5
402.25,1185.7,144.73,-2.0239,-0.00061121,0.39171,0.5
402.26,1187.4,145.66,-4.2365,0.048389,1.0783,0.5
404.24,1186.4,143.98,-4.2882,-1.4116,0.25137,0.5
406.98,1187.2,144.2,-8.5615,-0.74219,-1.345,0.5
406.86,1187.5,144.43,-9.8368,-0.76863,-1.5036,0.5
404.04,1187.8,144.86,-4.3064,-0.19004,1.2152,0.5
412.86,1186.2,146.69,-8.2729,1.1002,-3.3114,0.5
412.44,1187.5,146.44,-8.8002,1.1704,-3.5225,0.5
410.63,1187.5,144.16,0,0,0,0.5
412.49,1184.4,146.32,-3.681,0.20333,-1.8413,0.5
410.83,1185.1,144.75,0,0,0,0.5
391.2,1192.4,146.49,-6.432,0.068847,0.64951,0.5
392.63,1191.6,146.22,-4.4894,-0.064369,0.55503,0.5
392.52,1192.5,145.97,-4.4652,0.43921,0.24715,0.5
397.51,1192.4,146.05,-9.2716,1.112,-0.31238,0.5
395.01,1192.5,146.09,-7.9526,0.35125,0.19229,0.5
395.15,1191.1,146.26,-7.1183,-0.13998,0.54838,0.5
397.65,1190.4,146.38,-9.6189,0.067891,0.36201,0.5
400.1,1189.7,146.4,-12.16,0.25777,0.33507,0.5
402.36,1189.2,146.08,-11.673,-0.091315,2.618,0.5
400.01,1192.3,146.44,-12.62,1.3179,-0.43007,0.5
402.47,1192.2,146.42,-12.346,1.5388,1.1998,0.5
407.18,1189.7,144.89,-9.3251,-0.46491,0.18841,0.5
