"Points:0","Points:1","Points:2","U:0","U:1","U:2","alpha.water"
596.63,1052.3,153.83,-2.903,1.0839,1.6792,0.5
594.64,1052.2,154.08,-1.234,0.36026,0.52066,0.5
594.65,1051.5,153.9,-0.12939,0.1638,0.0075942,0.5
596.39,1050.2,153.39,-0.18523,0.24836,-0.21372,0.5
512.51,1057.6,149.43,-0.12675,0.19022,0.084899,0.5
512.91,1057.3,149.11,0,0,0,0.5
512.89,1057.6,149.51,-0.1752,0.11119,0.41565,0.5
516.98,1057.4,150.73,0.059471,-0.63804,-2.0159,0.5
513.85,1057.6,150.73,0.57348,-0.84437,-0.8657,0.5
513.99,1056,149.51,0,0,0,0.5
517.04,1056.2,150.58,0.03085,-2.2243,1.693,0.5
557.81,1057.2,154.95,0.0056799,-0.060718,-0.0074464,0.5
555.28,1057.4,155.25,-0.037693,-0.23432,-0.33945,0.5
555.48,1054.9,154.69,-0.32655,-0.10937,-0.12294,0.5
557.98,1054.9,154.38,-0.0075123,-0.0091273,0.00019766,0.5
561.15,1054.1,154.64,-0.004682,-0.0085177,0.00072596,0.5
562.96,1054.6,154.35,-0.0038403,-0.0096486,0.00093471,0.5
560.51,1057,154.65,-0.0074795,-0.013032,0.00093219,0.5
562.89,1057.2,154.53,-0.0062901,-0.014453,0.0017427,0.5
564.88,1054.8,154.46,-0.0022261,-0.0099035,0.0011685,0.5
567.12,1054.9,154.72,-0.0013566,-0.0098517,0.0013361,0.5
564.98,1057.4,154.45,-0.0039692,-0.015549,0.002266,0.5
567.21,1057.6,154.64,-0.0025167,-0.01602,0.0026253,0.5
570,1055,155.09,-0.0011132,-0.0099566,0.001542,0.5
572.91,1055.1,154.76,-0.0007763,-0.0090042,0.0018764,0.5
570.02,1057.7,154.86,-0.0022879,-0.016226,0.0029624,0.5
572.98,1057.8,154.59,-0.0010869,-0.016584,0.0031006,0.5
575.03,1055.2,154.42,0.0017106,-0.0068095,0.0018865,0.5
577.47,1055.1,154.75,0.0034859,-0.0058198,0.0012081,0.5
575.07,1057.8,154.07,0.0078553,-0.014911,0.0027252,0.5
577.14,1057.7,154.54,0.014554,-0.0056442,0.00064683,0.5
580.07,1054.8,154.49,0.004365,-0.0026999,0.00055785,0.5
582.31,1054.7,154.41,0.0048615,-0.0025298,-0.00011394,0.5
579.69,1057.3,154.7,0.010538,-0.0022067,-0.00079909,0.5
582.24,1057.1,154.78,0.0070796,-0.0042647,9.9779e-06,0.5
584.73,1054.8,155.09,0.010045,2.4772,-0.080673,0.5
587.27,1054.8,155.47,-1.3188,3.8119,-0.21646,0.5
584.82,1057.1,155.3,-0.064235,1.4797,-0.058111,0.5
587.35,1057.3,155.45,-0.68163,2.4966,-0.1207,0.5
589.89,1054.9,155.24,-2.0038,2.7848,-0.15339,0.5
592.36,1054.8,154.54,-2.0085,1.9467,-0.050053,0.5
589.87,1057.3,154.98,-1.1808,2.36,-0.23492,0.5
592.37,1057.3,154.01,-0.9986,1.9939,-0.33767,0.5
