"Points:0","Points:1","Points:2","U:0","U:1","U:2","alpha.water"
471.45,1052.5,141.41,-1.8727,-4.9766,-0.16577,0.5
472.12,1051.6,140.47,0,0,0,0.5
472.12,1052.5,141.09,-1.7581,-5.5534,-0.62894,0.5
470.75,1055.2,142.29,-4.0852,-9.8336,0.32156,0.5
472.26,1055,141.63,-3.7223,-10.564,-1.7015,0.5
471.93,1055.9,141.44,-2.3576,-5.0793,0.036668,0.5
420,1111.7,141.47,-4.1312,-3.0485,-0.051201,0.5
422.09,1110,143.09,-12.586,-9.3383,-0.9933,0.5
422.42,1110,143.18,-12.508,-9.3651,-1.1472,0.5
420,1112.5,141.23,-3.7263,-2.811,-0.46328,0.5
422.53,1112.6,142.25,-10.418,-6.9667,-2.0145,0.5
425.03,1112.3,142.75,-11.981,-8.0681,-2.7547,0.5
427.43,1109.9,142.6,-11.722,-9.6213,-1.5292,0.5
427.53,1111.5,143.07,-11.14,-8.5427,-3.2444,0.5
424.93,1109.9,143.19,-12.238,-9.5756,-1.4838,0.5
430.3,1110.3,142.1,-10.517,-8.682,-3.3788,0.5
429.9,1110,141.57,-5.3185,-4.5181,-1.6479,0.5
432.84,1110,141.58,-0.89146,-0.75731,-0.27622,0.5
415.02,1116.4,142.47,-11.668,-8.5409,-0.47424,0.5
417.54,1115,142.32,-10.878,-7.2817,-1.936,0.5
417.68,1115.6,142.36,-10.419,-6.9745,-1.8543,0.5
415.11,1115,141.65,-5.3674,-4.1674,0.060162,0.5
411.47,1125.7,141.22,-3.8206,-1.4411,-0.67648,0.5
410.6,1125.7,141.1,-3.5748,-1.3484,-0.63294,0.5
410.6,1125.7,141.63,-6.6838,-3.3641,-0.62464,0.5
411.67,1126.1,141.35,-4.193,-1.5816,-0.74242,0.5
404.81,1130.2,141.66,-1.5675,-0.7632,0.50725,0.5
404.83,1129.8,141.58,0,0,0,0.5
404.86,1129.9,141.83,-1.6636,-1.0061,-0.16648,0.5
435.07,1112.3,144.78,-10.52,-9.99,-7.153,0.5
437.9,1111.3,145.13,-5.6224,-5.6977,-4.0278,0.5
437.88,1112.6,145.63,-4.4823,-4.7669,-3.9833,0.5
435.12,1112.6,144.87,-10.129,-9.9314,-7.2624,0.5
427.58,1117.3,144.63,-11.937,-9.1411,-6.173,0.5
427.58,1117.6,144.81,-11.626,-8.844,-6.2956,0.5
426.47,1117.6,144.6,-12.018,-9.0536,-6.107,0.5
430.1,1115.2,144.66,-11.118,-9.3962,-6.8775,0.5
430.17,1115.1,144.67,-11.259,-9.5213,-6.9778,0.5
432.59,1115.1,145.45,-9.7764,-9.0777,-7.4859,0.5
430.4,1117.9,145.65,-4.4663,-3.606,-3.7161,0.5
432.57,1117.7,146.22,-5.8435,-5.1392,-4.203,0.5
435.31,1115.3,146.1,-5.7698,-5.7782,-4.6659,0.5
437.57,1115,146.51,-7.1441,-6.9115,-4.6173,0.5
435.04,1117.5,146.53,-6.5138,-6.1001,-4.3629,0.5
437.11,1117.2,147.52,-9.4631,-9.2191,-4.73,0.5
420.07,1121.8,144.73,-13.258,-8.0825,-5.2518,0.5
421.39,1120.1,144.72,-13.038,-8.4596,-5.2253,0.5
422.58,1120.1,145.18,-12.506,-8.4345,-4.9567,0.5
420.07,1122.6,144.96,-13.13,-7.9641,-5.0818,0.5
422.93,1122.9,145.58,-6.3841,-4.029,-2.431,0.5
425.41,1120.4,145.59,-5.6869,-3.9602,-2.8914,0.5
427.59,1120.3,145.9,-6.0814,-4.0217,-2.9827,0.5
425.13,1122.6,146.01,-7.1201,-3.5966,-1.5336,0.5
427.4,1122.4,146.88,-10.823,-5.729,-2.0875,0.5
432.09,1121.3,147.62,-11.429,-7.7573,-3.5398,0.5
430.08,1122.2,147.22,-11.76,-7.8507,-3.2356,0.5
429.68,1122.3,147.13,-11.616,-7.5612,-3.0687,0.5
432.31,1119.8,147.36,-9.8054,-6.6404,-3.6515,0.5
430.05,1120.1,146.2,-6.2062,-4.0338,-3.033,0.5
434.59,1119.6,147.64,-10.641,-8.0485,-3.9966,0.5
434.97,1119.5,147.7,-10.984,-8.6105,-4.2693,0.5
434.56,1119.8,147.63,-11.017,-8.0245,-3.895,0.5
417.54,1126.6,144.75,-13.387,-8.3075,-4.2165,0.5
417.54,1127.5,145.12,-13.203,-8.3582,-3.7106,0.5
415.01,1127.5,144.84,-13.062,-8.3258,-4.8067,0.5
422.81,1125.1,145.85,-7.3414,-4.3881,-2.2117,0.5
422.6,1127.5,145.9,-7.3552,-4.1853,-1.8776,0.5
420.05,1125,145.17,-13.374,-8.1576,-4.1608,0.5
420.39,1127.8,145.49,-6.2791,-3.9204,-1.7238,0.5
424.96,1125,146.76,-10.626,-5.9011,-1.2054,0.5
426.69,1124.8,146.97,-12.285,-7.82,-2.833,0.5
424.82,1127,146.53,-12.557,-7.8399,-2.3713,0.5
417.85,1130.3,145.76,-7.7311,-5.1186,-1.9661,0.5
417.72,1132.5,146.11,-9.2652,-5.7432,-1.9284,0.5
414.95,1130,145.72,-13.322,-8.3206,-3.6481,0.5
414.94,1132.5,145.76,-13.481,-8.0733,-2.7346,0.5
422.28,1131.9,146.93,-12.667,-7.3408,-1.7631,0.5
421.93,1132.4,146.93,-12.67,-7.3062,-1.6747,0.5
420.01,1132.5,146.86,-10.165,-6.5629,-0.79674,0.5
422.4,1130,146.89,-10.945,-6.3069,-1.1874,0.5
420.13,1130.1,145.95,-7.8644,-4.5873,-1.2889,0.5
412.24,1134.9,145.03,-13.854,-7.8154,-3.122,0.5
412.34,1137.4,144.92,-13.694,-7.4206,-3.2701,0.5
410.42,1137.4,144.09,-13.535,-7.4488,-3.6989,0.5
410.97,1134.8,144.57,-13.813,-7.8635,-3.6719,0.5
415.48,1135.3,145.09,-5.6531,-3.4265,-1.2216,0.5
417.58,1135,146.09,-9.51,-5.6191,-1.9576,0.5
415.48,1137.2,145.11,-6.0212,-3.4629,-1.3518,0.5
417.59,1137.5,146.04,-9.61,-5.5763,-2.1251,0.5
419.88,1137.5,146.92,-11.246,-7.6495,-0.69966,0.5
419.92,1135,146.94,-10.479,-7.2035,-0.49828,0.5
420.86,1135,146.86,-12.417,-7.4081,-1.0138,0.5
420.37,1137.5,146.74,-12.456,-7.5453,-0.86562,0.5
409.73,1140.5,143.98,-12.957,-7.0528,-4.7039,0.5
410.15,1140.1,144.02,-13.095,-7.133,-4.5672,0.5
412.39,1140.1,144.91,-13.504,-7.3651,-4.2095,0.5
409.88,1142.7,144.79,-12.508,-6.5057,-5.2226,0.5
412.8,1142.9,145.48,-7.358,-3.8222,-2.6735,0.5
417.72,1140,145.9,-9.3166,-5.3808,-2.2818,0.5
417.56,1142.6,145.79,-8.4932,-5.1183,-2.4098,0.5
415,1140,145.51,-13.566,-7.3569,-2.9507,0.5
415.06,1142.8,145.75,-8.3634,-4.6386,-2.267,0.5
419.9,1140,146.56,-12.049,-7.6929,-0.98139,0.5
420.05,1140,146.5,-12.312,-7.6412,-0.91511,0.5
419.89,1141.1,146.58,-12.421,-7.6468,-1.1251,0.5
410.34,1145.4,145.48,-6.3416,-2.5144,-3.1651,0.5
412.58,1145.1,145.87,-7.6083,-2.834,-2.0052,0.5
410.36,1147.7,145.53,-4.7063,0.24487,-1.2329,0.5
412.53,1147.5,146.66,-11.972,-4.1895,-1.0632,0.5
414.99,1145,146.6,-12.204,-5.8116,-1.5391,0.5
417.44,1144.9,146.64,-12.668,-6.876,-1.2437,0.5
417.44,1145,146.63,-12.695,-6.8572,-1.1927,0.5
414.98,1146.6,146.65,-12.912,-6.4951,-0.94222,0.5
410.28,1171.5,144.38,-5.2054,-2.0309,-2.4714,0.5
