"Points:0","Points:1","Points:2","U:0","U:1","U:2","alpha.water"
422.53,1112.5,142.06,-8.8417,-6.3901,-1.5706,0.5
420,1112.5,140.98,-2.1082,-1.7504,-0.25203,0.5
420,1112.1,141.04,-1.9375,-1.5871,0.081486,0.5
422.43,1110.3,142.74,-10.549,-8.3005,-0.67456,0.5
425.04,1112.5,142.64,-11.782,-8.2236,-2.6569,0.5
427.43,1109.9,142.65,-11.571,-9.7785,-1.7231,0.5
427.53,1111.5,143.07,-11.001,-8.6475,-3.2995,0.5
424.93,1109.9,143.16,-12.114,-9.7886,-1.5865,0.5
430.23,1110.2,142.16,-10.563,-9.1026,-3.4217,0.5
429.94,1110,141.71,-6.3473,-5.5319,-2.0139,0.5
432.73,1110.3,141.5,-1.5892,-1.2523,-0.59419,0.5
431.45,1110,141.21,0,0,0,0.5
415.01,1116.1,142.49,-11.737,-8.6381,-0.6475,0.5
417.54,1115,142.53,-11.915,-8.681,-2.4962,0.5
417.55,1115,142.53,-11.915,-8.6808,-2.4961,0.5
415.08,1115,141.88,-7.0952,-5.5035,-0.19471,0.5
435.06,1112.2,144.83,-10.525,-9.8847,-7.0676,0.5
437.9,1111.2,145.16,-5.8612,-5.8341,-4.0418,0.5
437.88,1112.6,145.67,-4.7412,-4.8716,-3.9792,0.5
435.12,1112.6,144.94,-10.068,-9.8296,-7.1866,0.5
427.58,1117.1,144.63,-11.736,-9.2754,-6.1076,0.5
427.58,1117.6,144.94,-11.314,-8.7892,-6.3317,0.5
425.69,1117.6,144.59,-11.83,-9.1649,-6.0253,0.5
432.59,1115.1,145.5,-9.7067,-9.0299,-7.3923,0.5
432.57,1117.7,146.26,-5.9226,-5.2355,-4.1925,0.5
430.1,1115.1,144.7,-11.07,-9.5129,-6.9006,0.5
430.39,1117.9,145.71,-4.7317,-3.7858,-3.8002,0.5
435.3,1115.3,146.14,-5.9188,-5.8508,-4.6861,0.5
437.58,1115,146.53,-7.3234,-6.9056,-4.6103,0.5
435.04,1117.5,146.56,-6.6237,-6.1674,-4.3847,0.5
437.11,1117.2,147.55,-9.5265,-9.0051,-4.6519,0.5
420.07,1120.7,144.73,-12.619,-8.1898,-5.6802,0.5
420.65,1120.1,144.72,-12.53,-8.3902,-5.6627,0.5
422.58,1120.1,145.37,-12.242,-8.5533,-5.0655,0.5
420.07,1122.6,145.24,-12.63,-7.9343,-5.1634,0.5
422.9,1122.9,145.75,-6.9841,-4.5952,-2.6455,0.5
425.38,1120.4,145.71,-6.3061,-4.4397,-3.0467,0.5
427.59,1120.3,146,-6.5178,-4.405,-3.1005,0.5
425.13,1122.6,146.11,-7.4814,-4.2751,-1.7062,0.5
427.4,1122.4,147,-10.587,-5.8702,-2.3352,0.5
432.06,1121.5,147.82,-11.504,-7.6731,-3.5859,0.5
430.76,1122.1,147.61,-11.688,-7.6562,-3.3769,0.5
429.68,1122.2,147.36,-11.239,-6.8962,-3.011,0.5
432.31,1119.8,147.43,-9.6406,-6.5904,-3.5894,0.5
430.06,1120.1,146.26,-6.4998,-4.3612,-3.1285,0.5
434.6,1119.6,147.78,-10.415,-7.5585,-3.9239,0.5
435.23,1119.5,147.86,-11.038,-8.4302,-4.3744,0.5
434.53,1119.9,147.77,-11.051,-7.5229,-3.7807,0.5
414.97,1127.4,144.84,-12.706,-8.2175,-4.7875,0.5
417.54,1126.1,144.76,-13.034,-8.0769,-4.4117,0.5
417.54,1127.5,145.26,-12.858,-8.174,-3.6525,0.5
414.96,1127.5,144.88,-12.696,-8.2081,-4.8123,0.5
422.78,1125.1,146,-7.7008,-4.6936,-2.2971,0.5
422.6,1127.5,146.03,-7.4386,-4.2397,-1.8827,0.5
420.06,1125,145.4,-12.913,-7.9584,-4.1452,0.5
420.37,1127.8,145.62,-6.7036,-4.204,-1.8347,0.5
424.78,1127.4,146.77,-12.285,-7.3914,-2.2813,0.5
424.96,1125,146.91,-10.69,-6.0392,-1.8069,0.5
427.11,1124.8,147.3,-12.081,-7.5674,-2.8276,0.5
424.83,1127.4,146.77,-12.364,-7.4476,-2.3038,0.5
412.34,1129.9,145.06,-12.91,-7.8061,-5.0177,0.5
412.26,1132.4,145.24,-13.356,-7.663,-4.1587,0.5
410.9,1132.3,144.71,-13.315,-7.3777,-4.3169,0.5
411.59,1129.9,144.78,-12.995,-7.6093,-4.7196,0.5
417.83,1130.3,145.84,-7.9079,-5.1469,-1.9461,0.5
417.7,1132.5,146.21,-9.4333,-5.5891,-1.8105,0.5
414.95,1130,145.83,-12.859,-8.0896,-3.665,0.5
414.95,1132.5,145.93,-12.943,-7.6401,-2.8012,0.5
420.12,1130.1,146.03,-7.9362,-4.6481,-1.2061,0.5
422.4,1130,147.06,-10.264,-6.0121,-1.2261,0.5
420,1132.5,146.94,-9.8471,-6.1201,-0.65967,0.5
422.24,1132.4,147.22,-12.392,-6.8638,-1.5077,0.5
409.56,1135.6,144.23,-13.283,-6.9226,-3.8884,0.5
409.67,1134.7,144.38,-13.326,-7.0626,-3.9498,0.5
412.25,1134.9,145.24,-13.543,-7.1035,-3.2141,0.5
409.68,1137.4,144.06,-13.248,-6.6401,-3.646,0.5
412.34,1137.4,145.06,-13.526,-6.6191,-3.2734,0.5
415.44,1135.3,145.26,-6.2548,-3.5785,-1.3953,0.5
417.58,1135,146.22,-9.7584,-5.4573,-1.832,0.5
415.44,1137.2,145.24,-6.4702,-3.3746,-1.4386,0.5
417.59,1137.5,146.15,-9.8284,-5.2337,-1.9548,0.5
419.88,1137.5,147.02,-11.007,-6.9775,-0.2633,0.5
419.91,1135,147.06,-10.026,-6.5705,-0.22623,0.5
421.02,1135,146.98,-12.389,-6.9363,-0.94508,0.5
420.45,1137.5,146.81,-12.628,-7.0296,-0.84141,0.5
412.4,1140.1,145,-13.423,-6.6124,-3.9864,0.5
412.8,1142.9,145.49,-7.3452,-3.4525,-2.35,0.5
409.72,1140.1,144,-12.918,-6.2441,-4.2993,0.5
409.88,1142.7,144.83,-12.493,-5.945,-4.9016,0.5
417.71,1140,145.95,-9.4125,-4.7738,-2.0274,0.5
417.56,1142.6,145.78,-8.4356,-4.141,-1.916,0.5
415,1140,145.6,-13.356,-6.4986,-2.7946,0.5
415.06,1142.8,145.77,-8.2643,-3.946,-1.9335,0.5
419.91,1140,146.55,-12.263,-7.0937,-0.64009,0.5
420.04,1140,146.49,-12.566,-7.0935,-0.73348,0.5
419.89,1140.7,146.5,-12.634,-7.1289,-0.82375,0.5
407.26,1145.1,144.2,-13.085,-5.7098,-4.5262,0.5
407.32,1145.1,144.21,-13.052,-5.7009,-4.6062,0.5
407.33,1145.5,144.22,-13.124,-5.6922,-4.6419,0.5
410.33,1145.4,145.51,-6.791,-2.5489,-2.9503,0.5
412.58,1145.1,145.88,-7.5406,-2.4749,-1.6947,0.5
410.37,1147.7,145.51,-5.4433,-0.71406,-2.1707,0.5
412.53,1147.5,146.62,-11.851,-4.3951,-0.85954,0.5
414.99,1145,146.58,-11.994,-4.705,-0.66525,0.5
417.31,1144.9,146.53,-12.896,-6.4953,-0.8527,0.5
414.98,1146.5,146.56,-12.98,-6.2482,-0.69552,0.5
410.5,1172.4,143.87,0,0,0,0.5
