"Points:0","Points:1","Points:2","U:0","U:1","U:2","alpha.water"
422.52,1112.5,141.88,-7.7608,-5.318,-1.4938,0.5
419.99,1112.5,140.66,-0.19161,-0.15123,-0.022713,0.5
419.99,1112.4,140.67,-0.19238,-0.14751,0.0076367,0.5
422.44,1110.6,142.47,-9.3057,-6.9475,-0.50856,0.5
425.47,1112.6,142.52,-11.803,-7.8855,-2.8981,0.5
427.43,1109.9,142.7,-11.559,-9.1397,-1.822,0.5
427.54,1111.8,142.9,-11.115,-8.1875,-3.3047,0.5
425.04,1112.6,142.41,-11.043,-7.2856,-2.5383,0.5
424.93,1109.9,143.02,-12.367,-9.3002,-1.3274,0.5
430.24,1110.2,142.16,-10.526,-8.4734,-3.9138,0.5
430.01,1110,141.94,-8.1572,-6.5946,-3.0277,0.5
432.36,1110.5,141.49,-3.1946,-2.4905,-1.2035,0.5
431.33,1110,141.19,0,0,0,0.5
415.02,1116.8,142.45,-11.46,-7.6873,-0.84005,0.5
417.53,1115,141.93,-8.068,-5.6037,-1.5053,0.5
417.92,1116.5,142.05,-6.9229,-4.8084,-1.2917,0.5
415.13,1115,141.46,-3.9465,-3.0159,-0.00088316,0.5
411.31,1125.9,141.27,-5.4355,-1.6278,-1.1709,0.5
410.86,1126,141.22,-5.5522,-1.6628,-1.196,0.5
410.83,1125.9,141.49,-7.284,-2.5367,-1.2086,0.5
411.45,1126.1,141.35,-5.6365,-1.688,-1.2142,0.5
472.19,1099,149.1,-6.691,-8.131,-1.725,0.5
472.78,1099.1,149.24,-6.3379,-7.9816,-1.8022,0.5
472.93,1100,149.31,-6.3476,-8.0294,-1.685,0.5
474.65,1099.5,149.48,-5.2081,-7.6068,-1.8316,0.5
476.5,1099.9,149.75,-4.1972,-7.5176,-1.8014,0.5
475.11,1101.6,149.87,-5.346,-7.4318,-1.1842,0.5
476.97,1102,150.17,-4.7511,-6.9874,-0.98632,0.5
479.08,1102.5,150.16,-4.0067,-6.9806,-0.8323,0.5
478.7,1102.5,150.23,-4.114,-6.867,-0.95914,0.5
478.56,1101.8,150.02,-3.6471,-7.0954,-1.1716,0.5
475.55,1103.7,150.31,-5.3804,-7.6954,-1.4225,0.5
477.46,1104.2,150.5,-4.9185,-6.9731,-0.57014,0.5
475.4,1106.5,150.92,-5.2213,-7.9282,-1.6568,0.5
477.93,1106.3,150.94,-4.997,-7.3051,-0.82496,0.5
480.47,1106,150.94,-4.1747,-6.5092,-0.011027,0.5
479.23,1104.7,150.71,-4.601,-6.5107,-0.18079,0.5
480.53,1104.8,150.54,-4.1533,-6.6505,-0.060952,0.5
438.02,1111.9,144.63,-2.675,-2.7681,-1.9369,0.5
437.99,1112.6,144.99,-2.5341,-2.7414,-2.2987,0.5
435.38,1112.6,144.57,-9.4344,-8.5988,-6.5085,0.5
481.83,1109.3,151.19,-4.0193,-6.2805,0.17174,0.5
481.63,1109.8,151.6,-4.0085,-6.4305,0.0046671,0.5
480.37,1109.6,151.31,-4.379,-6.8755,-0.259,0.5
430.22,1115.7,144.53,-9.1032,-7.6388,-5.5818,0.5
431.32,1115.1,144.69,-11.046,-9.3744,-6.9536,0.5
432.59,1115.1,145.1,-10.298,-9.1596,-7.1935,0.5
430.44,1118,145.46,-3.8989,-3.0694,-3.4068,0.5
432.57,1117.8,146.08,-5.2662,-4.5616,-3.9033,0.5
435.37,1115.4,145.73,-4.6434,-4.6645,-3.6114,0.5
437.56,1115,146.22,-5.9425,-5.7209,-3.7054,0.5
435.04,1117.5,146.39,-5.9489,-5.5422,-3.9393,0.5
437.09,1117.1,147.2,-9.804,-9.3094,-4.6946,0.5
